Type,Time,Count,DepDelay,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,15minDepDelay,Cancelled,Diverted,ArrDelay,15minArrDelay
y,2016,108819,4.872908157149838,0.36469566493491806,0.05616374586960523,0.25818651160720624,0.00103688395921269,0.3199171936290578,0.12141262095773717,0.0036390703829294515,0.0033266249460112665,0.7605797513995636,0.1409310846995819
m,1,122,7.909090909090909,0.3604060913705584,0.027918781725888325,0.2817258883248731,0.0,0.3299492385786802,0.1721311475409836,0.00819672131147541,0.0,5.235294117647059,0.1511627906976744
m,2,88,8.930232558139535,0.23150816522574447,0.04514889529298751,0.11623439000960614,0.0038424591738712775,0.6032660902977905,0.14772727272727273,0.022727272727272728,0.0,11.126582278481013,0.19753086419753085
m,3,108,1.1574074074074074,0.44138929088277856,0.09985528219971057,0.10274963820549927,0.0,0.35600578871201155,0.14814814814814814,0.0,0.0,2.966292134831461,0.10112359550561797
m,4,86,-8.011627906976743,,,,,,0.023255813953488372,0.0,0.011627906976744186,-0.03529411764705882,0.011764705882352941
m,5,87,-3.6551724137931036,0.86,0.0,0.08333333333333333,0.0,0.056666666666666664,0.034482758620689655,0.0,0.011494252873563218,1.3488372093023255,0.05813953488372093
m,6,86,-5.255813953488372,0.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.023255813953488372,0.0,0.011627906976744186,2.5348837209302326,0.11627906976744186
m,7,85,-4.6,0.0,0.0,0.07954545454545454,0.0,0.9204545454545454,0.03529411764705882,0.0,0.0,-5.741176470588235,0.03529411764705882
m,8,59,-3.711864406779661,0.0,0.0,0.0,0.0,1.0,0.03389830508474576,0.0,0.01694915254237288,-13.140350877192983,0.017241379310344827
m,9,83,-5.457831325301205,0.0,0.0,0.6105263157894737,0.0,0.3894736842105263,0.012048192771084338,0.0,0.0,-7.216867469879518,0.03614457831325301
m,10,88,-1.5113636363636365,0.06666666666666667,0.18596491228070175,0.11929824561403508,0.0,0.6280701754385964,0.045454545454545456,0.0,0.0,-7.659090909090909,0.022727272727272728
m,11,82,-0.4878048780487805,0.0,0.08010335917312661,0.12403100775193798,0.0,0.7958656330749354,0.06097560975609756,0.0,0.0,-2.1097560975609757,0.10975609756097561
