Origin,January.FlightCount,January.DepDly,January.ArrDly,February.FlightCount,February.DepDly,February.ArrDly,March.FlightCount,March.DepDly,March.ArrDly,April.FlightCount,April.DepDly,April.ArrDly,May.FlightCount,May.DepDly,May.ArrDly,June.FlightCount,June.DepDly,June.ArrDly,July.FlightCount,July.DepDly,July.ArrDly,August.FlightCount,August.DepDly,August.ArrDly,September.FlightCount,September.DepDly,September.ArrDly,October.FlightCount,October.DepDly,October.ArrDly,November.FlightCount,November.DepDly,November.ArrDly,December.FlightCount,December.DepDly,December.ArrDly
MCO,10739,129467,115391,10150,111188,111525,11748,181003,177992,10908,118992,117159,10550,114539,113484,10615,161816,167165,11146,213335,202234,10160,188714,187607,8824,111186,110497,9637,72773,66343,10161,74375,73104,11936,169307,165008
MDT,189,2111,2168,140,1750,1780,174,2356,2015,192,887,767,253,3437,3266,179,2326,2258,174,3238,3308,204,3512,3409,265,3201,3506,296,1434,1493,282,3436,3122,213,3268,3629
MDW,6679,57865,42034,6208,50687,44836,7327,65183,62520,7299,61265,52424,7546,80337,74157,7917,100286,86461,8140,164699,155578,7836,89101,79948,7279,52177,48625,7527,45065,44329,6893,58044,48215,7158,110408,106187
MEI,83,984,1032,79,687,718,85,3340,3444,81,2273,2365,84,1586,1686,82,2310,2380,83,2172,2306,85,2885,2937,82,766,752,83,663,710,81,2878,2918,84,1041,1145
MEM,1151,7198,7755,1035,9195,9209,1022,8390,8691,1150,11390,11580,1170,12527,11960,1296,19018,18375,1265,23287,22702,1263,19146,19773,1206,9080,9162,1271,5897,5353,1213,9578,8695,1149,11996,11711
MFE,194,880,979,191,488,473,165,2307,2240,186,1517,1472,198,2703,2508,160,3938,3906,204,3767,3586,179,2663,2713,183,982,878,186,2336,2187,189,839,1040,191,4134,3972
MFR,235,4274,4402,219,1427,1444,214,3662,4030,227,2991,2980,266,3627,3628,260,2909,2736,274,2602,2698,278,4551,4272,266,3252,2831,252,4208,3947,230,2637,2781,245,7404,7246
MGM,191,3669,3503,183,2946,2908,200,1776,1593,224,1335,1425,208,1597,1536,200,3252,3273,197,4443,4167,197,3934,3873,218,3997,3820,223,2103,1815,210,4449,4282,198,2541,2488
MHT,443,4254,3613,456,4841,4944,469,4347,4452,575,4490,4899,669,3440,3451,633,6604,6294,566,7635,7807,570,6111,6008,600,3802,3779,630,4494,4326,565,4356,3299,536,6264,7007
MIA,6083,101662,92787,5742,76334,74135,6217,101953,99890,5866,69479,76158,6114,97251,108631,5857,114141,126959,5943,128007,129606,5791,142995,148587,5107,60029,66090,5385,44344,46683,5498,50330,51203,8225,108532,112045
MKE,2703,29272,28547,2579,21472,23096,2952,28178,31999,2754,24443,24255,2766,22271,22195,2933,34402,32934,2939,44507,44336,2833,34533,35473,2562,20097,22112,2588,20116,21668,2477,20065,17733,2527,37518,43328
MKG,62,1050,1441,55,798,879,58,751,852,55,786,722,58,1324,1293,56,619,593,57,1228,1116,58,921,875,56,250,296,57,357,453,55,1388,1394,56,667,518
MLB,117,450,438,106,811,769,147,1121,858,145,1209,1076,143,867,640,142,2087,2097,131,2792,2757,128,1982,1960,109,968,800,115,936,812,108,349,481,127,1054,1105
MLI,216,3047,3119,95,1501,1510,186,1386,1553,306,1796,1872,264,2273,2576,286,3987,4134,165,1476,1528,173,3314,3281,145,3292,3289,244,2642,2485,259,3812,3807,188,5156,5505
MLU,247,2344,2504,233,2314,2465,241,2161,2544,242,1925,1725,279,4264,4508,286,4093,4522,259,5570,6006,261,4402,4588,262,2541,2555,272,2639,2441,236,5049,5102,255,2709,2918
MOB,353,3224,3983,327,3578,4365,348,2958,3524,372,2706,3330,391,4048,4796,396,5315,5838,462,9919,9869,461,8223,8368,448,5565,5242,460,2960,2763,450,3364,3502,439,4912,5090
MOT,151,2552,2681,161,1908,1929,162,2520,2726,155,904,873,202,721,827,169,2582,2525,173,1220,1299,155,1785,1869,60,504,566,93,1293,1370,107,2845,3153,59,1231,1654
MQT,54,2592,2733,52,1452,1588,57,1379,1663,55,848,1020,57,68,162,60,199,235,77,282,302,62,730,739,55,1472,1480,57,764,803,55,1107,1219,56,3192,3272
MRY,210,1341,1680,161,2099,2089,176,2897,2954,200,1464,1664,212,796,1250,206,2179,2200,210,2177,1964,210,3110,3502,197,2345,2692,259,3461,4023,259,3215,3688,244,3534,4309
MSN,576,4914,5147,585,6638,6936,594,4810,4992,653,3613,3612,586,3705,4029,668,6192,6008,692,10171,10161,705,11016,10739,673,4565,5110,661,5030,5213,594,6175,5879,545,8730,10004
MSO,181,2201,2425,163,1775,1810,230,1649,1926,154,395,488,239,1076,1160,259,1490,1503,345,5212,4829,332,2759,2857,246,2256,2226,162,914,842,168,1352,1306,203,3020,2918
MSP,9581,94746,105487,9305,104640,112068,10845,86440,99414,10652,67992,62450,11005,74067,76625,11466,133633,138249,12254,168301,176014,12165,177882,194506,10600,84511,99658,11165,66351,72993,10235,98313,101619,10318,185835,208373
MSY,3507,29949,27448,3465,26680,25876,3774,42623,41299,3681,39314,39365,3942,43711,42433,3602,55604,55189,3588,60361,59526,3541,46540,48462,3358,25599,26258,3750,23397,20744,3713,28269,26827,3726,40129,40496
MTJ,153,2177,2403,142,1296,1072,208,2925,3002,59,171,232,31,0,0,60,644,610,76,1412,1358,94,1695,1835,104,1812,1904,30,118,116,11,0,0,132,2588,2376
MYR,228,3092,3349,288,5429,5615,475,6589,6361,549,6277,6250,604,5156,5145,609,7550,7540,678,9828,9586,665,12909,12721,531,6328,6314,522,6551,6356,333,4238,4293,272,4101,3859
OAJ,90,1165,1245,91,1690,1698,101,605,702,113,927,971,117,1041,1317,113,2238,2536,111,2284,2296,115,2806,2885,107,2207,2130,109,731,774,104,901,974,98,1346,1508
OAK,3654,38390,38108,3365,25279,23933,3765,37627,37879,3840,34443,36791,4035,34868,34764,4372,56440,57101,4504,64074,60851,4519,40980,41844,4163,28817,30800,4330,40418,39116,4089,31362,31575,4228,68761,67259
OGG,1909,16137,11827,1793,12848,10723,2010,22736,21552,1892,12106,12528,1898,9519,9925,2027,15987,17284,2150,14322,14141,2071,14305,14604,1825,11467,12643,1860,9596,9044,1846,8014,9909,2232,21687,24302
OKC,1322,7729,7726,1241,7705,7028,1363,10939,10595,1265,8768,8527,1303,15818,15115,1261,16372,15172,1338,17743,17626,1372,16414,16935,1354,9888,10174,1396,7600,8590,1263,11803,11097,1246,15432,15302
OMA,1409,14746,15667,1269,15159,13899,1526,10634,10014,1429,8643,8258,1499,13883,14290,1476,19702,18508,1517,23663,23235,1517,18517,19010,1576,12566,13104,1599,10850,11476,1557,13334,12678,1699,20067,21543
OME,61,281,376,58,315,414,62,485,461,60,393,459,61,128,177,60,184,229,61,210,272,62,451,524,59,320,365,62,136,212,58,251,263,60,733,853
ONT,1598,18690,18859,1495,11027,10652,1651,20254,21143,1646,16633,16460,1739,21692,20850,1630,17124,16086,1624,22066,21234,1670,17224,17271,1595,10256,10506,1655,17902,17446,1609,13137,13143,1849,28610,27959
ORD,18610,263338,238885,17763,278262,271857,19904,280477,283382,19796,216862,198809,21602,302623,302653,21692,325006,312363,22214,524882,514673,22226,468993,459773,20406,250291,247603,21555,247265,251358,19488,207776,197180,21465,420624,435609
ORF,846,9718,9341,812,9579,10013,863,8057,7573,965,8502,8623,967,12301,11273,971,14144,13783,1074,27806,26787,1044,18592,18105,904,10049,9262,1022,8628,8169,816,7723,6872,854,9060,8942
ORH,60,1161,1216,58,749,722,62,932,746,60,1197,1099,62,889,1093,60,1214,1318,61,2142,2449,62,1834,1706,58,389,512,59,404,462,58,459,304,61,853,888
OTH,17,449,471,17,564,550,17,718,733,17,455,480,18,366,322,32,325,319,39,1252,1139,40,1153,1079,37,416,492,33,567,649,16,247,266,17,396,417
OTZ,61,212,255,58,292,287,62,254,262,60,205,233,62,107,99,60,117,122,61,777,769,62,410,420,59,132,166,62,137,129,58,250,303,60,537,587
PAH,62,1218,1260,55,362,415,58,316,334,56,964,1039,58,1201,1229,56,375,433,57,1687,1817,58,933,984,56,300,404,57,998,970,55,479,588,56,1130,1107
PBG,31,327,424,29,331,323,31,379,425,28,173,197,27,361,449,26,469,405,26,382,304,26,418,323,23,113,89,22,201,132,40,228,143,62,675,771
PBI,2436,39208,32125,2374,49567,47125,2669,42330,37247,2293,29375,28631,1902,26566,24912,1656,26803,27782,1653,33809,34971,1661,28942,29958,1528,17085,17365,1670,12826,11727,2031,22413,23409,2523,37641,37128
PDX,4136,34082,41265,3929,23704,24297,4615,36769,38255,4595,28145,30693,4959,33915,36556,5361,52050,52357,5716,53241,49627,5667,54848,53736,4913,31408,31147,5027,45314,44684,4789,29198,30799,5089,91497,89279
PHF,88,490,452,81,812,838,93,589,442,90,397,392,93,482,615,109,980,959,115,2071,1862,107,3131,3006,83,449,317,93,659,457,87,847,678,88,1472,581
PHL,5664,52932,50298,5377,64615,66994,6068,55872,55593,5920,55788,59809,6448,63679,70066,6389,84502,98996,6626,123838,142212,6562,90326,94272,5904,72406,80687,6215,52130,58782,5980,42836,33646,7375,91726,110336
PHX,13024,109691,117674,12289,79826,84177,14443,120988,131029,13404,103740,105526,13670,109882,104519,13691,173577,177980,14009,215327,222499,13310,168660,187638,11963,74158,75911,12955,131128,120011,12744,98050,106791,17019,227474,212321
PIA,249,3633,4102,270,4421,4535,276,4038,4672,225,2625,2647,271,3169,3602,287,1628,1722,263,3642,3820,247,3730,3761,210,2326,2559,238,2625,2469,206,3496,3652,210,5072,5180
PIB,52,794,964,50,452,585,54,1068,1508,51,1096,1198,53,628,716,52,558,577,52,1544,1707,54,916,964,52,856,821,52,469,576,52,1121,1063,53,572,619
PIH,56,351,665,52,493,642,84,88,422,81,28,202,81,350,486,82,176,323,81,783,766,85,294,308,80,76,98,83,171,261,78,1009,1201,83,1954,2114
PIT,1887,13486,13030,1758,15611,13953,2065,17466,17115,2085,16884,16903,2150,15724,15158,2234,22632,22460,2312,30694,29683,2200,20749,21915,2063,14040,14511,2214,15207,16500,2164,15504,12407,2319,20607,25127
PLN,54,1132,1177,71,1281,1231,81,1010,841,85,2034,1995,88,1654,1515,108,1106,962,169,1796,1638,125,2961,2859,86,1544,1484,78,1435,1364,77,856,703,79,2040,2033
PNS,443,4484,4169,417,4534,4368,495,4237,4180,482,3743,4091,500,4963,4974,573,6163,5627,593,7266,7179,565,8187,8210,479,2382,2234,488,2075,1615,444,2350,2234,497,5831,5344
PPG,10,11,52,9,92,85,8,50,40,9,2441,2471,10,74,48,13,0,0,14,1458,1502,11,27,36,9,38,38,9,16,10,8,8,14,11,3041,2976
PSC,298,4775,5452,268,1675,1778,337,2713,3473,327,4258,4292,332,2793,3125,326,1396,1806,337,3514,3557,337,5049,5018,319,2167,2399,329,3313,3472,287,4894,4584,311,4498,4636
PSE,73,723,723,58,831,837,62,393,364,60,866,792,73,149,141,79,845,924,93,1261,1251,88,873,829,59,784,611,62,779,789,69,206,218,87,842,825
PSG,62,196,222,58,238,240,62,268,299,60,132,168,62,251,253,60,201,239,62,220,208,62,587,638,60,413,417,62,792,802,58,329,362,60,858,857
PSP,978,16796,17096,1034,16524,16758,1254,21568,22811,1033,10593,11023,843,13039,13686,599,7869,7920,579,8390,7910,584,10424,10647,592,5446,5580,752,12066,12586,907,9826,11072,906,15834,15771
PVD,996,9467,9739,870,9943,9894,1056,9179,9413,1070,7199,7879,1097,5634,7040,1070,9055,9131,1087,14904,14371,1057,13345,12497,990,6511,6398,1081,5707,5410,1127,7899,6031,1213,12960,13749
PWM,377,3469,3682,368,6461,6750,397,4172,4870,485,4010,4353,488,3777,4008,536,7266,7066,679,13331,12969,713,13590,13362,721,7900,8544,689,8813,9633,445,5291,4722,472,9452,9938
RAP,218,2919,2871,169,2935,3032,174,1511,1679,249,1711,1897,239,1037,963,302,3796,4104,427,5682,5852,366,4685,4750,241,2500,2486,209,539,671,153,891,829,257,4594,4414
RDD,61,923,972,58,789,824,62,1451,1415,86,1432,1322,92,2351,2221,90,725,712,92,942,915,93,2608,2668,85,699,728,92,947,1070,90,710,593,90,823,859
RDM,183,2454,2728,166,1362,1369,183,2448,2971,175,2073,2127,55,373,374,300,4293,4851,333,6186,6124,319,5941,6086,268,1917,2025,273,6223,6377,260,2436,2669,272,5559,5912
RDU,2569,22078,22160,2439,27426,28870,2810,23311,22488,2838,27934,29013,3202,30367,30857,3146,42723,42659,3216,69846,68168,3163,51792,51494,2866,26309,26857,2952,22065,21884,2927,23078,22254,3012,40488,42739
RHI,88,652,987,83,1020,1156,89,549,639,85,621,575,89,1461,1451,86,828,849,88,667,863,89,1093,1172,86,597,725,88,1616,1765,84,1201,1377,87,1326,1418
RIC,1155,11875,12377,1170,16878,17592,1327,13710,13847,1283,11943,12724,1325,16291,18219,1370,26517,26402,1408,31283,30304,1468,30929,30742,1404,17103,17813,1463,13827,13483,1295,16516,15510,1279,17908,18486
RKS,57,858,994,54,229,275,58,194,252,55,599,830,57,660,654,56,432,424,56,25,120,43,94,101,56,633,698,57,114,211,55,106,132,56,246,290
RNO,1001,11397,12747,935,7999,7691,1106,19710,20831,1087,11804,12540,1109,10522,11131,1266,14593,14618,1347,15758,14947,1363,15055,15507,1289,11286,11471,1304,10809,10289,1154,10921,11142,1252,19436,18993
ROA,183,1526,1837,177,2181,2267,164,894,1194,195,3667,3500,199,2178,2466,197,2185,2324,164,3167,2921,179,2469,2731,193,2252,2075,201,2338,2084,188,1743,1468,174,2156,2197
ROC,585,4309,4122,593,9735,9905,611,4743,4858,509,3942,4134,606,3819,3630,634,7363,7340,670,10700,10268,661,10482,10403,655,5523,5658,662,4994,5897,623,7581,7148,595,7839,8788
ROW,4,63,48,4,2,2,33,154,293,35,122,218,35,139,128,34,235,272,36,268,340,41,518,599,56,669,673,57,304,403,52,653,793,53,860,885
RST,77,1326,1394,86,596,692,115,1071,1011,113,685,579,118,832,800,75,653,615,115,2129,1940,114,2223,2149,114,2669,2598,119,429,376,104,1741,1818,61,1634,1707
RSW,3294,43653,35974,3298,43458,40405,4174,61462,56736,3030,34198,35214,2039,24964,23993,1625,24224,24247,1637,25762,25954,1515,22791,22967,1345,14732,14618,1809,13684,12574,2488,14075,15349,3212,41609,42934
SAF,58,839,855,74,464,506,91,2284,2400,89,2154,2349,89,1398,1643,116,2764,2995,121,2526,2790,116,5123,5186,107,2187,2269,110,1808,1650,106,2113,2200,135,2145,2390
SAN,6016,63936,64463,5686,40469,39709,6449,66685,67725,6373,54831,54836,6574,59541,59170,6870,71692,76331,7161,84205,87083,7116,77612,80457,6433,55221,55913,6645,55715,53400,6313,50569,52754,6984,104437,97933
SAT,2342,13629,12227,2198,12389,12156,2560,25881,25801,2450,27048,26994,2719,27186,28107,2682,38237,37488,2749,40224,39574,2681,33776,34402,2517,16437,17985,2688,20521,22266,2631,19848,19256,2808,29883,28573
SAV,531,4141,4099,517,6300,6631,637,7420,6755,639,5498,5167,570,7323,6971,611,9241,9062,636,12844,11895,709,15874,15509,654,5953,6158,655,6919,6489,586,7326,7146,581,9842,10414
SBA,500,8101,8681,441,5168,5232,480,9584,10112,496,5515,5746,514,9458,9344,497,6901,6856,534,6377,6634,540,11247,11351,517,7185,7349,534,9674,10014,466,5870,6490,464,9494,10412
SBN,396,5334,6043,380,5896,6272,463,5638,6013,445,5116,5225,432,3420,3513,453,3297,3027,478,5454,5359,490,8757,8628,453,3867,4029,477,5880,5734,441,6171,5777,406,10481,11634
SBP,221,2535,2710,244,1836,2136,287,3802,4152,280,4181,4464,307,3282,3493,278,3216,3514,255,3093,3061,252,3536,3631,258,1656,1754,275,4743,4998,265,3481,3844,271,5489,6190
SCC,80,149,193,75,279,296,79,166,264,78,380,448,80,193,213,76,361,368,62,170,149,62,375,318,60,182,185,62,277,176,59,151,187,61,303,401
SCE,58,449,547,55,1153,1243,62,662,712,60,312,373,61,768,768,60,584,651,61,969,1022,62,1177,1313,57,499,483,88,1256,1328,57,771,856,65,655,988
SDF,746,9376,9731,735,10037,9867,775,7928,7846,827,8513,8088,946,10145,9842,955,12685,12046,864,14194,13310,839,10822,10948,830,5600,5067,892,5627,4537,797,8048,7529,764,13072,13027
SEA,9749,87549,99408,9205,59265,61436,10288,82707,91416,10311,67867,79228,11500,66306,74785,12512,131562,132982,13165,140028,134740,13214,143239,142958,10997,67306,69792,10885,84903,89612,10171,64176,71552,10953,159992,155981
SFO,13207,211212,211360,12420,138455,129780,14259,273945,269418,13955,163134,172208,14899,201636,198376,14927,197053,199417,15491,239622,225763,15962,255801,251257,14425,144049,152267,14801,257121,236377,13874,145430,144778,14975,284781,259202
SGF,231,2647,3086,241,3666,3701,235,1795,2013,221,1201,1410,255,2143,2212,304,4279,4574,247,3716,3853,229,3053,3167,221,1380,1226,239,2534,2538,202,2583,2435,175,2961,2970
SGU,153,787,1161,160,1241,1439,182,1432,1556,175,645,697,180,1126,1120,162,898,816,159,1334,1367,163,540,744,173,350,452,181,815,887,198,1362,1729,193,1875,2225
SHV,481,4821,5015,440,4053,4341,502,5167,5587,438,4313,4451,501,4739,5329,532,7447,7871,545,10373,10867,525,12973,13425,494,5935,6472,520,3267,3603,493,5314,5615,474,8641,8770
SIT,92,947,970,87,193,232,93,1247,1019,90,185,218,114,488,558,172,780,898,182,1791,1861,182,942,997,97,452,519,89,796,806,83,537,545,89,1671,1651
SJC,3214,29681,29241,3025,21160,20605,3265,29565,29245,3264,29158,30155,3507,32704,32582,3721,47508,47729,3800,50514,48980,3873,34996,35302,3565,23731,24920,3609,32814,29224,3596,27933,29798,3865,65562,64419
SJU,2408,37169,32702,2167,28006,26495,2407,27625,26822,2350,20879,21675,2300,21656,20267,2399,24268,25472,2638,35968,33971,2274,45513,42398,1607,15332,14294,1760,17399,16766,2045,13609,14179,2793,33008,32487
SLC,8684,75331,92958,8271,61582,70073,9530,71509,82480,8652,53139,53996,9044,56644,54868,9310,84623,84508,9782,91420,89060,9808,100403,100734,8866,45893,50187,9205,53405,58909,8582,48402,53567,9288,158993,155179
SMF,3152,33466,33676,2988,20762,20515,3342,33535,33064,3281,27766,28836,3532,30592,31696,3607,45829,45598,3670,51812,49841,3711,40928,41328,3387,23589,24550,3587,36229,34665,3499,28164,29142,3668,67373,64465
SNA,3465,26290,25399,3274,23868,23592,3573,33931,33708,3478,28601,27347,3643,35580,33060,3606,35039,33795,3667,36888,37897,3777,43378,44684,3511,23383,24598,3609,39101,38441,3450,25424,26716,3803,50509,45355
SPI,142,1495,1552,137,698,863,151,1743,1879,145,1377,1544,150,2528,2708,150,1551,1640,154,3649,4079,155,2168,2252,145,694,666,150,1250,1348,136,1922,1878,123,3958,4053
SRQ,327,4146,3703,346,5710,5139,453,7755,7180,344,4556,4539,246,4682,4344,209,2294,2334,211,4693,4142,210,4972,4929,190,1318,1188,210,1404,993,227,1323,1220,308,4907,4533
STL,4321,40336,35847,4069,35182,36027,4645,46287,45730,4535,45430,43182,4644,56338,55128,4721,68452,62949,4935,98646,96294,4876,62674,62613,4569,37693,38697,4768,32886,34241,4657,40071,35589,5087,69106,68296
STT,448,9045,8602,440,5721,5674,531,6999,6449,492,4064,3998,430,2907,2987,429,6432,6530,464,6258,6580,401,5409,5850,251,3887,3788,300,2727,2812,339,1592,1617,585,11987,11331
STX,98,1667,1659,94,2324,2371,106,1483,1395,104,844,819,101,774,804,98,1191,1551,103,1270,1199,92,860,863,60,411,405,66,495,481,86,431,472,135,706,685
SUN,115,1521,1583,113,668,779,138,1162,1602,64,1,6,57,743,768,100,665,762,163,1303,1415,160,3608,3584,109,692,750,57,1174,1190,58,513,488,120,2696,2862
SWF,67,1633,1686,58,479,602,62,772,957,60,622,646,62,515,485,60,963,932,62,1068,1006,62,1167,998,60,1017,1019,63,706,646,58,913,671,62,1109,1047
SYR,458,5829,7056,397,6223,6883,595,6728,7063,464,5088,5577,520,5521,5873,435,3741,3632,567,10291,10323,548,8547,8631,497,5492,5529,474,4826,4406,466,5300,5849,473,8458,10302
TLH,208,3262,3163,228,1497,1434,260,1308,1280,257,1755,1958,205,2107,2009,257,2383,2716,201,4220,4041,199,3284,3192,191,913,806,202,2186,2018,190,973,884,170,2301,2273
TPA,6006,57733,50738,5712,64419,61429,6824,80918,70627,6068,58975,58203,5712,60807,61946,5543,83666,83547,5686,110918,106158,5246,76272,76669,4627,41422,42216,4972,32443,28601,5507,32997,33392,6447,79930,77854
TRI,162,1525,1735,153,2488,2652,169,1839,1687,166,1801,1568,176,1199,1253,202,3545,3628,194,5169,4934,191,3956,3792,188,3350,3132,186,1564,1279,189,1253,1053,185,1718,1691
TTN,168,1532,1689,144,2503,2425,153,2458,2358,166,591,604,185,2131,2405,181,3085,3131,185,4662,5087,186,3546,3893,178,3607,3648,185,1338,1395,180,2114,1699,198,3308,2909
TUL,1199,7747,7898,1147,5884,5501,1219,10149,10929,1185,9324,10038,1144,10015,10743,1087,15032,14665,1158,12785,12831,1197,14311,14716,1163,6517,7099,1150,7234,7148,1150,9029,9213,1375,14735,15694
TUS,1419,12490,13242,1324,10018,10027,1488,18904,18950,1315,13822,12896,1276,12261,12022,1278,16752,16246,1327,18060,18299,1289,16594,16843,1171,9740,10063,1378,11575,11802,1423,12354,12803,1514,22328,21640
TVC,95,1274,1566,145,2566,2796,134,1532,1749,129,1076,1250,139,1334,1274,243,2295,2329,426,6320,5993,352,5682,5227,182,1845,1775,145,538,536,106,2400,2251,129,2372,2443
TWF,122,1468,1746,88,1155,1163,108,768,794,86,35,28,87,365,342,86,108,120,85,145,178,59,114,67,83,53,121,88,315,335,82,381,492,122,3842,4001
TXK,83,664,575,78,831,840,80,986,1124,59,715,871,87,1471,1695,80,2917,2997,83,3094,3290,78,1609,1757,57,350,459,63,158,380,51,386,412,56,758,946
TYS,525,5060,5411,500,6943,7437,573,6018,6683,581,4936,5599,591,5123,5889,649,9861,9883,640,12676,12673,650,10259,10668,605,7401,7524,683,3668,3690,608,6010,5618,612,11582,11729
VLD,84,1851,1797,81,1246,1281,89,472,526,85,593,733,86,1095,1130,86,1578,1575,86,1856,1890,89,1482,1591,85,493,614,88,404,431,83,401,444,86,1157,1296
VPS,360,2819,2998,331,4054,3113,397,4398,4643,388,2796,3083,365,2277,2380,385,6442,6300,417,6739,6571,383,6713,6285,305,2356,2100,286,2273,2054,285,2079,1927,308,2444,2543
WRG,62,199,263,58,282,276,62,274,267,60,166,204,62,238,261,60,226,242,62,295,333,62,947,966,60,156,192,62,1283,1177,58,743,738,60,1121,1052
XNA,367,3258,3542,407,4424,4655,481,6649,6769,499,6116,6279,540,5060,5661,537,8195,8179,514,8998,8909,536,7822,7904,508,8196,8288,525,7937,8220,449,4922,4918,416,9298,9114
YAK,60,323,342,58,5,0,62,331,335,60,315,339,61,176,217,60,147,209,62,214,279,62,714,551,60,158,160,62,219,227,58,149,214,60,69,59
YUM,177,1535,1686,165,988,1021,177,689,845,174,309,448,174,414,495,167,726,784,170,645,674,168,2380,2326,154,807,822,171,1631,2098,145,1709,1742,118,650,638
