Origin,January.FlightCount,January.DepDly,January.ArrDly,February.FlightCount,February.DepDly,February.ArrDly,March.FlightCount,March.DepDly,March.ArrDly,April.FlightCount,April.DepDly,April.ArrDly,May.FlightCount,May.DepDly,May.ArrDly,June.FlightCount,June.DepDly,June.ArrDly,July.FlightCount,July.DepDly,July.ArrDly,August.FlightCount,August.DepDly,August.ArrDly,September.FlightCount,September.DepDly,September.ArrDly,October.FlightCount,October.DepDly,October.ArrDly,November.FlightCount,November.DepDly,November.ArrDly,December.FlightCount,December.DepDly,December.ArrDly
DAY,572,8116,8335,485,6836,6961,547,5590,5832,518,4380,4630,521,4046,4096,602,4961,5057,604,9596,9437,578,9025,10117,597,5610,5749,575,4017,4078,498,4399,4269,431,7385,7605
DCA,6447,53822,55644,6193,72835,78071,6753,58758,62121,6602,55062,59451,6841,64166,74447,6680,104314,122692,6743,129273,139849,6760,96271,107586,6395,55170,62889,6574,47076,53232,6019,42406,41585,6539,74689,89382
DEN,17519,153568,150078,16533,132701,125578,19088,228075,221796,18038,165318,163050,19060,232701,217166,19708,296933,285490,20919,342751,338767,20884,292739,291613,19268,167276,161553,19405,155255,155849,17589,139317,137019,18470,345975,320378
DFW,16565,147209,143146,15430,130746,133845,17044,254771,270277,16147,182532,195319,16544,223368,232610,16671,358404,357059,17291,378362,384570,17277,362236,374938,16089,160333,180680,16279,115487,122902,15224,137408,162057,20195,272233,281408
DHN,116,2365,2235,103,1947,1706,119,752,667,115,484,469,118,689,688,116,1747,1680,115,3795,3691,120,2101,1969,112,2353,2099,119,837,766,109,1287,1198,115,2897,2882
DLH,173,3120,3321,192,2162,2553,234,3461,3995,202,1320,1656,232,2253,2334,174,2728,2037,235,5392,5835,230,4434,4272,173,2601,2805,261,1957,2272,180,1086,1311,192,4663,5179
DRO,105,1476,1894,98,198,394,175,1677,2056,176,1720,2340,241,3253,4090,182,1764,1895,218,3976,4231,210,2519,2916,164,697,1052,142,1282,1706,137,1276,1467,114,1388,1605
DSM,656,6693,6667,636,7395,8672,671,5299,5567,633,5560,5318,682,9990,9481,614,7541,7442,773,11810,12035,711,7773,7862,600,3305,3481,637,2823,3555,612,5099,4515,637,16797,15686
DTW,9489,118262,120571,9201,118149,121868,10505,118090,127514,10447,86922,83941,11138,94283,90359,10802,111739,106484,10371,149391,149736,10680,179590,175017,10211,69509,69854,11223,79159,78617,10196,99712,91981,9956,194605,228298
DVL,48,560,619,46,1239,1196,49,260,366,47,396,344,48,345,297,48,1187,1089,53,167,157,53,925,897,52,48,108,53,743,821,50,886,537,52,766,743
EAU,62,1106,1164,55,230,246,58,217,195,55,898,842,58,768,710,56,674,694,57,788,883,58,1442,1630,56,114,155,57,493,476,55,132,146,56,1363,1397
