Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,180,2218,2020,949,56,197,0,734
ABQ,1443,13172,13338,5096,198,1637,0,4667
ABR,62,834,1161,723,0,237,0,58
ABY,79,719,758,324,0,42,0,318
ACT,145,771,790,458,0,71,0,139
ACV,125,2055,2290,211,84,861,0,963
ACY,310,3787,5683,552,67,2823,58,1697
ADK,9,102,129,19,0,22,80,0
ADQ,43,102,123,12,0,10,0,53
AEX,208,2035,2144,409,239,207,0,1080
AGS,196,2670,2464,631,194,222,0,1278
ALB,758,6826,6564,1962,312,1432,0,2277
AMA,246,1785,2075,638,218,639,0,372
ANC,1232,3914,6335,1824,331,1750,5,820
APN,52,1858,1886,938,0,74,0,820
ASE,607,9076,10421,2783,823,2708,0,3443
ATL,29870,274201,256115,98868,32573,41151,17,55265
ATW,270,2577,3068,847,28,733,0,1161
AUS,3581,26358,24633,7522,721,4770,13,8483
AVL,204,3797,3517,1870,0,347,0,1157
AVP,153,977,1067,244,0,270,0,449
AZO,206,2087,3164,391,24,1100,0,1462
BDL,1520,15745,13983,4206,416,2281,101,5603
BET,81,181,299,27,4,88,0,129
BFL,188,2300,2414,1013,0,473,0,698
BGM,76,1379,1352,504,0,62,6,720
BGR,6,1,24,0,0,24,0,0
BHM,891,7286,6745,2110,288,1666,0,1873
BIL,283,1663,1871,938,0,406,0,410
BIS,208,2979,3234,1654,0,446,0,884
BJI,62,570,652,165,0,31,0,346
BLI,95,230,579,139,0,303,0,0
BMI,91,1278,1502,457,0,328,0,620
BNA,3898,34224,36008,8088,7358,6718,0,10662
BOI,1172,13191,14685,3371,163,3631,0,6511
BOS,9088,92661,88882,28882,6564,23213,210,22865
BPT,85,637,538,214,0,66,0,210
BQK,86,843,940,506,0,161,0,220
BQN,172,2372,2333,281,1,272,0,1553
BRD,52,2035,2304,1052,652,248,0,272
BRO,187,1152,1027,270,0,139,0,581
BRW,80,308,274,112,26,40,0,36
BTM,58,255,269,0,157,41,0,16
BTR,590,5819,6135,2976,91,820,0,1835
BTV,264,3140,3345,858,124,1222,0,888
BUF,1307,15865,15196,5355,1644,1867,0,5393
BUR,1783,15846,16167,1810,338,3798,0,8533
