Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
MHT,981,9226,9373,2793,86,2885,0,2814
MIA,10384,151403,164255,53789,3242,47133,339,47029
MKE,4902,55138,55984,15315,2878,12382,7,20634
MKG,103,1467,1396,40,0,208,0,1041
MLB,228,1263,1157,297,17,228,0,414
MLI,372,4601,4746,2012,103,484,0,1808
MLU,478,6878,7307,1316,93,800,0,4636
MMH,15,57,65,0,0,22,0,31
MOB,761,9645,10269,2704,1,2239,0,4635
MOT,235,4168,4395,1678,1,832,0,1692
MQT,106,1847,2082,913,220,226,0,599
MRY,373,3941,4352,311,0,1430,9,2237
MSN,1128,14246,14592,4360,388,3630,0,5387
MSO,370,3899,4127,1589,1,1186,0,1067
MSP,19558,212260,232259,72052,9255,65787,57,63519
MSY,6444,78184,77228,16492,2663,18777,131,32642
MTJ,142,1939,1913,499,9,534,0,734
MVY,40,1435,1368,275,140,370,0,563
MYR,823,13899,14029,1154,0,8707,47,3436
OAJ,195,2594,2730,916,0,240,0,1358
OAK,7299,86557,88632,21221,1010,16168,38,37992
OGG,3297,23848,24351,8796,253,1311,22,9273
OKC,2364,22336,22335,5077,1119,4452,1,9304
OMA,2672,29776,29828,8479,475,6660,0,11597
OME,102,359,517,42,44,120,7,141
ONT,2952,33608,32635,5877,361,8143,0,14560
ORD,36572,583844,592456,161610,33102,143544,140,211981
ORF,1660,19862,19100,5138,362,5992,0,6204
ORH,102,1798,2062,359,7,504,0,1102
OTH,51,1030,1097,58,0,245,0,724
OTZ,102,373,360,15,32,22,24,176
PAH,103,1048,1270,3,0,721,0,410
PBG,88,807,758,22,18,388,0,232
PBI,3547,53907,53076,12866,592,16093,23,19655
PDX,8714,87823,91036,22025,2267,23339,12,33369
PGD,16,251,240,1,0,9,0,209
PHF,167,1358,1156,464,0,90,0,510
PHL,10989,137012,152790,43504,2126,43996,196,51272
PHX,23931,260378,271934,74721,3968,59768,764,99669
PIA,435,6437,6848,2237,108,1550,0,2506
PIB,104,1375,1703,631,0,303,0,662
PIH,146,585,944,24,0,258,0,485
PIT,3774,32759,31935,7487,1278,7819,42,11914
PLN,168,5111,4925,3047,0,131,0,1646
PNS,860,8420,8191,1552,516,1685,0,3837
PSC,550,5367,5705,2344,80,843,0,1794
PSE,117,854,840,34,0,60,0,670
PSG,102,255,291,29,0,65,0,118
PSP,1452,22088,22923,8383,189,6695,7,6314
PVD,1885,14509,14385,2344,472,4751,0,4989
PWM,946,17651,18282,4659,620,5736,0,6525
RAP,438,3899,4041,1660,52,585,0,1384
RDD,143,2394,2403,16,0,916,0,1357
RDM,408,5447,5770,868,781,2135,0,1648
RDU,5309,62998,64563,13377,1517,18397,45,25200
RHI,154,1807,2025,156,137,156,0,1364
RIC,2448,35597,36082,11883,400,10033,28,11691
RKS,100,973,1103,0,0,728,0,265
RNO,2086,26588,27757,6153,307,6563,17,12309
ROA,334,3829,3999,787,14,1044,0,1749
ROC,1107,14696,15018,4098,408,4206,0,5502
ROW,61,808,1033,72,54,181,0,611
RST,180,2717,2630,668,16,662,0,1246
RSW,4206,50042,49838,10140,590,14175,0,20870
SAF,183,4665,4965,2896,0,338,0,1437
SAN,11663,129457,132355,27629,2555,35708,50,51921
SAT,4631,47406,47219,11515,1225,8499,10,20360
SAV,1055,15212,15028,3682,526,5525,0,4324
SBA,876,14609,15090,3507,108,4532,0,6250
SBN,801,12546,13108,5014,535,2446,0,4383
SBP,446,5529,5945,646,246,1773,12,2834
SCC,103,353,467,53,108,85,0,142
SCE,109,1759,1940,68,263,898,0,583
SDF,1479,19830,19305,7820,465,3938,16,5607
SEA,19442,174129,184223,54870,3714,47306,325,51160
SFO,25749,392990,390381,104026,5321,62715,196,188618
SGF,416,5272,5649,386,143,1467,0,3341
SGU,310,1811,2150,543,0,566,0,675
SHV,891,11900,12932,4778,651,2215,0,4420
SIT,198,1203,1054,416,103,98,0,282
SJC,6403,70246,69163,16050,712,11304,89,32645
SJT,144,2109,2536,1095,0,348,0,846
SJU,3698,40659,38839,13469,58,4776,53,16703
SLC,16120,146972,158626,45538,9473,39504,0,46427
SMF,6255,77133,76596,19222,679,12821,13,35469
SMX,78,2015,1990,686,0,59,0,1186
SNA,6486,64301,63536,11733,2117,16012,0,24989
SPI,255,2734,3070,441,171,606,0,1691
SPS,124,1097,1176,503,0,134,0,421
SRQ,469,5997,5906,965,15,2272,0,2297
STL,8340,98691,94477,20950,2617,19250,0,40658
STT,687,7917,7548,1004,7,1138,189,4581
STX,144,2352,2377,1187,0,233,0,763
SUN,175,2399,2493,702,6,673,0,1004
SWF,102,1336,1261,497,3,104,0,598
SYR,890,12422,13465,4386,17,3965,1,4217
TLH,386,3483,3243,1063,12,367,0,1547
TPA,9864,114914,112758,28829,2610,27601,55,43386
TRI,333,4582,4366,1959,0,125,0,2015
TTN,298,4134,4326,921,64,1368,0,1789
TUL,2142,20236,21096,4917,593,4534,8,9153
TUS,2331,24251,24490,5510,1065,6534,0,8966
TVC,302,4090,4091,863,182,960,0,1810
TWF,154,1083,1336,166,47,248,1,754
TXK,132,4029,4309,2070,0,298,0,1800
TYR,61,423,451,3,0,31,0,337
TYS,1080,15909,16505,6008,245,2975,0,6235
UST,29,488,546,10,0,380,0,142
VLD,155,2624,2828,1363,0,312,0,1006
VPS,610,5787,5812,941,102,1439,0,2914
WRG,102,406,385,18,17,49,0,253
WYS,37,194,227,0,0,57,0,118
XNA,936,10392,10811,2934,32,2632,0,4466
YAK,102,373,421,7,32,22,0,284
YUM,296,2153,2186,465,0,658,0,804
,,,,,,,,
