Origin,Dest
BIS,DVL
BJI,MSP
BLI,HNL
BLI,SEA
BLI,OGG
BLI,LAS
BLI,KOA
BMI,MSP
BMI,DTW
BMI,ATL
BNA,MCO
BNA,MCI
BNA,FLL
BNA,SAN
BNA,LAS
BNA,JAX
BNA,SAT
BNA,HOU
BNA,CLT
BNA,LGA
BNA,ORD
BNA,DEN
BNA,ECP
BNA,DCA
BNA,DAL
BNA,CMH
BNA,CLE
BNA,CHS
BNA,BWI
BNA,BOS
BNA,AUS
BNA,MIA
BNA,IAH
BNA,TPA
BNA,EWR
BNA,STL
BNA,CVG
BNA,RDU
BNA,SFO
BNA,SEA
BNA,LAX
BNA,DTW
BNA,ATL
BNA,DFW
BNA,MSP
BNA,SLC
BNA,MDW
BNA,MSY
BNA,OAK
BNA,PHL
BNA,RSW
BNA,PHX
BNA,PNS
BNA,PIT
BOI,IAH
BOI,OAK
BOI,SEA
BOI,PHX
BOI,SLC
BOI,PDX
BOI,MSP
BOI,SUN
BOI,SMF
BOI,LAX
BOI,SJC
BOI,SFO
BOI,DEN
BOI,DFW
BOI,ORD
BOI,LAS
BOI,GEG
BOI,MDW
BOI,SAN
BOS,FLL
BOS,LGB
BOS,IAD
BOS,DFW
BOS,SLC
BOS,MCO
BOS,EWR
BOS,MSY
BOS,ACY
BOS,TPA
BOS,SMF
BOS,MKE
BOS,PBI
BOS,MYR
BOS,ORD
BOS,PIT
BOS,SRQ
BOS,CHS
BOS,SJU
BOS,SAN
BOS,LAS
BOS,CVG
BOS,MSN
BOS,STL
BOS,LGA
BOS,MVY
BOS,SAV
BOS,BWI
BOS,LAX
BOS,CLE
BOS,MDW
BOS,DCA
BOS,HOU
BOS,RSW
BOS,SJC
BOS,DEN
BOS,OAK
BOS,PHX
BOS,MSP
BOS,ACK
BOS,BUF
BOS,ATL
BOS,CLT
BOS,SEA
BOS,SFO
BOS,BNA
BOS,MIA
BOS,DTW
BOS,STT
BOS,MCI
BOS,IAH
BOS,AUS
BOS,JFK
BOS,RIC
BOS,PHL
BOS,IND
BOS,RDU
BOS,DAL
BOS,CMH
BOS,PDX
BOS,JAX
BPT,DFW
BQK,ATL
BQN,FLL
BQN,MCO
BQN,JFK
BQN,EWR
BRD,MSP
BRO,DFW
BRO,IAH
BRW,ANC
BRW,SCC
BRW,FAI
BTM,SLC
BTR,JAN
BTR,DFW
BTR,ATL
BTR,DCA
BTR,IAH
BTV,EWR
BTV,DTW
BTV,JFK
BTV,DCA
BTV,ATL
BTV,LGA
BTV,ORD
BUF,MSP
BUF,JFK
BUF,LAS
BUF,EWR
BUF,LGA
BUF,DTW
BUF,MDW
BUF,FLL
BUF,BOS
BUF,BWI
BUF,PHL
BUF,DEN
BUF,MCO
BUF,PHX
BUF,ATL
BUF,ORD
BUF,TPA
BUF,LAX
BUF,CLT
BUF,RSW
BUR,SJC
BUR,JFK
BUR,SLC
BUR,DEN
BUR,SMF
BUR,PHX
BUR,DAL
BUR,PDX
BUR,SEA
BUR,SFO
BUR,OAK
BUR,LAS
BWI,SJC
BWI,SAT
BWI,ATL
BWI,OKC
BWI,PHL
BWI,OAK
BWI,MSY
BWI,SDF
BWI,MKE
BWI,MHT
BWI,MEM
BWI,SJU
BWI,PHX
BWI,MIA
BWI,ORF
BWI,DFW
BWI,PDX
BWI,SAN
BWI,LAX
BWI,RSW
BWI,ROC
BWI,SEA
BWI,ECP
BWI,RDU
BWI,PVD
BWI,PIT
BWI,SFO
BWI,LAS
BWI,CVG
BWI,PBI
BWI,PWM
BWI,SLC
BWI,MSP
BWI,BOS
BWI,FNT
BWI,DAY
BWI,DTW
BWI,CLT
BWI,CMH
BWI,CLE
BWI,ORD
BWI,CHS
BWI,BNA
BWI,BHM
BWI,BDL
BWI,AUS
BWI,ALB
BWI,ABQ
BWI,BUF
BWI,MDW
BWI,GRR
BWI,DEN
BWI,IAH
BWI,FLL
BWI,MCI
BWI,STL
BWI,MCO
BWI,EWR
BWI,TPA
BWI,LIT
BWI,ISP
BWI,MYR
BWI,IND
BWI,HOU
BWI,GSP
BWI,SMF
BWI,JAX
BWI,DAL
BZN,DEN
BZN,ORD
BZN,SFO
BZN,LAX
BZN,ATL
BZN,SEA
BZN,MSP
BZN,SLC
BZN,IAH
BZN,EWR
BZN,PDX
BZN,LGA
CAE,DFW
CAE,IAH
CAE,ORD
CAE,LGA
CAE,ATL
CAK,FLL
CAK,ATL
CAK,RSW
CAK,MCO
CAK,LAS
CAK,DTW
CAK,ORD
CAK,TPA
CAK,TYS
CAK,EWR
CDC,SLC
CDV,ANC
CDV,YAK
CHA,ATL
CHA,ORD
CHA,DFW
CHA,EWR
CHA,DTW
CHO,ORD
CHO,ATL
CHO,LGA
CHS,DEN
CHS,BOS
CHS,MDW
CHS,JFK
CHS,CLE
CHS,SEA
CHS,DCA
CHS,IAD
CHS,HOU
CHS,BNA
CHS,DAL
CHS,BWI
CHS,ORD
CHS,FLL
CHS,IAH
CHS,ATL
CHS,LGA
CHS,CLT
CHS,DTW
CHS,PHL
CHS,EWR
CID,DEN
CID,ORD
CID,MSP
CID,DTW
CID,ATL
CIU,PLN
CIU,DTW
CLE,SJU
CLE,LAS
CLE,MCO
CLE,SFO
CLE,BOS
CLE,EWR
CLE,FLL
CLE,RSW
CLE,ORD
CLE,DEN
CLE,TPA
CLE,BNA
CLE,ATL
CLE,BWI
CLE,IAH
CLE,MDW
CLE,DTW
CLE,LAX
CLE,MSP
CLE,DCA
CLE,STL
CLE,MKE
CLE,PHX
CLE,ABE
CLE,CLT
CLE,CRW
CLE,JFK
CLE,RDU
CLE,BDL
CLE,DFW
CLE,PHL
CLE,ERI
CLE,CHS
CLE,PDX
CLE,SEA
CLE,MYR
CLE,LGA
CLL,DFW
CLL,IAH
CLT,PIT
CLT,LGA
CLT,BDL
CLT,CHS
CLT,PDX
CLT,TPA
CLT,DCA
CLT,BUF
CLT,BNA
CLT,STT
CLT,STL
CLT,STX
CLT,MDT
CLT,CLE
CLT,SMF
CLT,JAX
CLT,ORF
CLT,RSW
CLT,ILM
CLT,SYR
CLT,DAL
CLT,HOU
CLT,MDW
CLT,SAT
CLT,PBI
CLT,RIC
CLT,ALB
CLT,PVD
CLT,PWM
CLT,MSY
CLT,IND
CLT,ROC
CLT,DTW
CLT,MEM
CLT,MCI
CLT,RDU
CLT,GSO
CLT,MSP
CLT,BWI
CLT,AUS
CLT,IAH
CLT,JFK
CLT,LAX
CLT,SJC
CLT,DAB
CLT,FLL
CLT,OAK
CLT,CMH
CLT,MIA
CLT,IAD
CLT,SJU
CLT,SDF
CLT,DFW
CLT,ORD
CLT,PHL
CLT,CVG
CLT,TTN
CLT,MCO
CLT,BOS
CLT,LAS
CLT,SEA
CLT,ATL
CLT,EWR
CLT,PHX
CLT,BHM
CLT,SFO
CLT,SLC
CLT,SAN
CLT,DEN
CMH,STL
CMH,LAX
CMH,DFW
CMH,EWR
CMH,DTW
CMH,ATL
CMH,OKC
CMH,IAH
CMH,ORD
CMH,LGA
CMH,PHL
CMH,CLT
CMH,MIA
CMH,MSP
CMH,CRW
CMH,BNA
CMH,BOS
CMH,BWI
CMH,DAL
CMH,DCA
CMH,FLL
CMH,LAS
CMH,MCO
CMH,MDW
CMH,OAK
CMH,DEN
CMH,RSW
CMH,TPA
CMH,PHX
CMX,ORD
COD,ORD
COD,DEN
COD,SLC
COS,DEN
COS,DFW
COS,SLC
COS,LAX
COS,ATL
COS,MCO
COS,ORD
COS,PHX
COS,SEA
COS,LAS
COS,IAH
CPR,SLC
CPR,DEN
CRP,IAH
CRP,HOU
CRP,DFW
CRW,ORD
CRW,MYR
CRW,IAH
CRW,ATL
CSG,ATL
CVG,STL
CVG,DEN
CVG,CLT
CVG,MSP
CVG,CMH
CVG,XNA
CVG,PHL
CVG,MCI
CVG,MEM
CVG,JFK
CVG,BWI
CVG,RDU
CVG,BNA
CVG,TPA
CVG,ORD
CVG,EWR
CVG,SEA
CVG,SFO
CVG,LAX
CVG,DTW
CVG,PHX
CVG,ATL
CVG,DCA
CVG,LAS
CVG,LGA
CVG,RSW
CVG,MKE
CVG,SLC
CVG,FLL
CVG,BOS
CVG,DFW
CVG,IAH
CVG,MCO
CWA,DTW
CWA,CMX
CWA,MSP
CWA,ORD
DAB,CLT
DAB,ATL
DAB,JFK
DAL,DEN
DAL,SAT
DAL,ELP
DAL,SEA
DAL,FLL
DAL,HOU
DAL,SAN
DAL,DTW
DAL,RDU
DAL,ICT
DAL,ECP
DAL,PHX
DAL,MEM
DAL,MDW
DAL,MKE
DAL,MCO
DAL,MSY
DAL,MCI
DAL,MAF
DAL,OAK
DAL,LIT
DAL,OKC
DAL,OMA
DAL,DCA
DAL,LAX
DAL,LAS
DAL,PDX
DAL,CMH
DAL,LBB
DAL,IND
