Origin,Monday.FlightCount,Monday.DepDly,Monday.ArrDly,Tuesday.FlightCount,Tuesday.DepDly,Tuesday.ArrDly,Wednesday.FlightCount,Wednesday.DepDly,Wednesday.ArrDly,Thursday.FlightCount,Thursday.DepDly,Thursday.ArrDly,Friday.FlightCount,Friday.DepDly,Friday.ArrDly,Saturday.FlightCount,Saturday.DepDly,Saturday.ArrDly,Sunday.FlightCount,Sunday.DepDly,Sunday.ArrDly
SBN,788,12523,12359,802,9969,10270,806,9599,9940,801,12546,13108,813,10877,11053,548,5979,5843,756,7818,8681
SBP,448,4450,5159,443,6639,6969,450,4614,5109,446,5529,5945,454,6818,7225,508,6152,6301,444,6648,7239
SCC,130,274,345,130,212,268,104,477,533,103,353,467,132,486,600,132,857,619,103,327,366
SCE,109,676,966,108,2108,2229,103,1409,1500,109,1759,1940,110,1215,1330,98,1200,1293,109,888,1026
SDF,1486,15692,15147,1463,16778,16186,1467,15639,15342,1479,19830,19305,1509,21802,20534,1136,10083,9204,1430,16223,16120
SEA,19479,188945,191026,18618,155810,156102,19246,139357,148888,19442,174129,184223,19984,201059,217100,17341,144411,148695,18840,151189,157856
SFO,25614,393144,382103,24955,291994,280610,25277,293361,285576,25749,392990,390381,26322,503093,501982,21002,264860,245815,24276,372797,363736
SGF,410,5604,5645,404,3511,3517,402,3238,3509,416,5272,5649,425,5571,5626,341,3814,4364,402,4948,4875
SGU,298,2679,2847,300,1703,2031,299,1434,1817,310,1811,2150,314,1826,2156,254,1029,1120,304,1923,2072
SHV,888,12174,13057,865,11365,12345,893,9766,9960,891,11900,12932,906,11720,12192,669,7752,7858,833,12366,13002
SIT,200,1017,1266,199,1646,1722,199,1263,1406,198,1203,1054,199,1667,1741,200,2038,1855,175,1195,1230
SJC,6402,58707,59333,6297,48991,48782,6396,50692,50682,6403,70246,69163,6567,84811,85138,4501,40179,38478,5738,71700,70624
SJT,141,2692,2974,144,3930,4008,144,1366,1544,144,2109,2536,147,2848,3294,133,1715,1762,157,1930,2318
SJU,3806,47681,46428,3637,40981,39586,3562,37536,35600,3698,40659,38839,3874,48609,46084,4420,56441,54970,4151,48525,46021
SLC,16041,145122,152996,15900,122558,127905,15972,103870,106243,16120,146972,158626,16380,140667,146317,13233,96405,100517,15376,145750,153915
SMF,6209,66296,66297,6101,58329,56379,6191,55769,55561,6255,77133,76596,6307,75849,77376,4703,43761,42846,5658,62908,62321
SMX,80,1317,1438,80,1129,1111,80,1477,1494,78,2015,1990,79,1361,1428,80,1208,1299,80,1482,1547
SNA,6442,61485,59630,6379,48644,47804,6457,55111,54362,6486,64301,63536,6596,73744,74029,4872,40443,37927,5624,58264,57304
SPI,255,4810,5230,246,2726,2916,246,2110,2298,255,2734,3070,259,3373,3588,226,2891,2904,251,4389,4456
SPS,119,2480,2709,122,1549,1589,121,872,1032,124,1097,1176,124,2283,2462,118,759,748,119,2533,2467
SRQ,469,7263,6723,465,5709,5748,466,8346,7262,469,5997,5906,487,7034,6181,467,8561,7907,458,4850,4517
STL,8281,90038,86114,8260,86297,84440,8375,98592,98665,8340,98691,94477,8473,101881,98725,6471,69056,66930,7627,88546,85242
STT,678,9236,8880,638,6788,6911,616,6494,6637,687,7917,7548,723,11111,11131,987,13907,14057,781,11575,11054
STX,152,1082,1191,147,1887,1932,166,1644,1566,144,2352,2377,151,805,910,227,2161,2196,156,2525,2532
SUN,174,2645,2746,155,2040,2185,169,1467,1601,175,2399,2493,182,2339,2387,212,2004,2419,187,1852,1958
SWF,106,2122,1942,104,1205,1238,104,1073,1040,102,1336,1261,106,1537,1553,106,1693,1700,108,1998,1961
SYR,881,11972,12736,861,10290,11070,866,10839,12158,890,12422,13465,910,13595,13860,692,6559,6901,794,10367,10934
TLH,385,4403,4604,382,4218,4069,378,3744,3751,386,3483,3243,393,4507,4425,291,1431,1561,353,4403,4121
TPA,9943,109414,105736,9637,105316,100672,9816,105794,102830,9864,114914,112758,10119,126910,120842,9434,113330,107038,9537,104822,101504
TRI,326,3385,3423,334,4956,4852,334,5451,5080,333,4582,4366,338,4931,5011,218,1780,1609,278,4322,4063
TTN,300,3536,3535,297,4254,4199,299,4188,4357,298,4134,4326,306,4915,5012,310,5182,5436,299,4666,4378
TUL,2139,19985,21084,2082,14860,15320,2114,15420,15528,2142,20236,21096,2184,18671,19176,1565,14304,15085,1948,19286,19186
TUS,2335,23617,23714,2279,23055,23862,2313,24610,25017,2331,24251,24490,2399,29234,29328,2248,22348,21354,2297,27783,27068
TVC,301,3407,3221,313,3274,3368,294,3348,3493,302,4090,4091,314,3694,3700,330,5291,5119,371,6130,6197
TWF,161,1181,1126,169,1408,1377,160,384,428,154,1083,1336,171,2586,2869,124,866,881,157,1241,1370
TXK,134,2394,2623,102,675,862,130,1016,1278,132,4029,4309,135,2977,3146,97,1135,1200,125,1713,1928
TYR,66,360,401,59,141,178,60,10,61,61,423,451,64,552,574,52,316,281,52,320,340
TYS,1119,13001,13918,1032,11942,12078,1064,13537,14606,1080,15909,16505,1134,15212,15503,749,7952,7983,1039,11984,12211
UST,25,393,355,28,908,865,27,269,294,29,488,546,29,502,507,29,448,448,28,270,426
VLD,153,1371,1558,156,1666,1730,156,1748,1714,155,2624,2828,156,2699,2760,106,1060,1113,146,1460,1605
VPS,616,8199,7330,597,6905,6757,604,7911,7875,610,5787,5812,636,5551,5564,566,5537,5152,581,5500,5507
WRG,104,651,686,104,793,782,104,1251,1319,102,406,385,106,855,911,106,1034,1004,102,940,884
WYS,34,321,281,19,111,70,27,118,119,37,194,227,37,173,137,35,267,233,35,610,610
XNA,909,13741,13654,918,14637,14755,917,10352,10736,936,10392,10811,944,14959,15330,499,7111,7306,656,9683,9846
YAK,103,435,192,104,369,394,104,289,312,102,373,421,104,264,367,106,707,814,102,383,432
YUM,294,2543,2872,262,797,1076,273,1221,1311,296,2153,2186,303,2248,2316,246,1402,1529,286,2119,2289
