Origin,Monday.FlightCount,Monday.DepDly,Monday.ArrDly,Tuesday.FlightCount,Tuesday.DepDly,Tuesday.ArrDly,Wednesday.FlightCount,Wednesday.DepDly,Wednesday.ArrDly,Thursday.FlightCount,Thursday.DepDly,Thursday.ArrDly,Friday.FlightCount,Friday.DepDly,Friday.ArrDly,Saturday.FlightCount,Saturday.DepDly,Saturday.ArrDly,Sunday.FlightCount,Sunday.DepDly,Sunday.ArrDly
FNT,574,3837,3982,581,4636,5171,571,3825,4310,578,4989,5367,587,4178,4160,463,3813,4171,522,2368,2756
FSD,653,6444,7200,595,4218,5371,645,8662,8875,623,6997,7614,646,10469,11968,523,4528,5033,545,8008,8604
FSM,164,2511,2429,165,1354,1354,165,1987,2007,164,1582,1736,167,2922,2944,170,2185,2152,159,1083,1143
FWA,628,12956,12695,634,7561,7889,636,7236,7529,632,8906,9190,641,8325,8134,437,4586,4898,578,6026,6508
GCC,156,1396,1388,156,277,347,156,1303,1431,155,2411,2474,159,731,950,106,1026,1038,152,825,825
GCK,60,1113,1237,60,351,441,60,600,671,62,1360,1559,63,3578,3558,62,1877,2015,60,2119,2195
GEG,1484,11861,11891,1485,14556,14228,1490,10060,9813,1493,10856,11303,1496,11099,12102,1268,10457,11271,1374,9421,9800
GFK,220,2212,2620,229,1787,1703,236,2927,3127,227,1490,1620,242,883,1135,173,2089,2019,228,4874,5008
GGG,57,2072,2259,57,371,608,57,990,1030,57,1436,1591,58,951,1088,40,395,400,56,601,659
GJT,434,3152,3735,417,2369,2628,419,2093,2324,434,3242,3605,443,3078,3458,353,1563,1617,420,2011,2118
GNV,341,5718,5526,345,6858,6228,338,3537,3408,349,3413,3434,358,5232,5128,260,3520,3538,296,2915,2732
GPT,464,4910,5240,444,5003,5328,449,4288,4552,466,6518,6588,473,5483,5806,400,3682,3794,453,4227,4082
GRB,558,6499,6302,545,5473,5561,557,4340,4847,566,6445,6914,573,6104,6695,413,2093,2299,527,4381,4908
GRI,48,477,559,49,477,579,50,696,894,50,719,849,49,1209,1428,26,795,904,48,658,801
GRK,315,3890,4157,242,1635,1712,246,1385,1435,315,3040,3390,320,2932,3087,222,1631,1584,270,2153,2241
GRR,1364,12842,13073,1393,17859,18877,1393,14770,15751,1405,13181,14102,1394,14313,14747,1028,9207,10131,1238,12936,14585
GSO,914,14415,14165,956,14106,13780,931,9002,8869,951,11676,12231,938,14363,14123,599,4776,4772,803,8799,8808
GSP,1085,10314,10332,1073,16916,16438,1091,12057,12065,1104,15381,15643,1104,11477,11502,774,7132,7090,926,10908,10662
GST,12,56,65,12,47,37,12,20,16,12,101,99,12,106,108,12,227,223,12,92,112
GTF,268,1048,1183,264,2295,2400,267,1406,1589,267,1988,2096,275,3019,3288,230,2978,3039,258,3709,3867
GTR,149,2155,2203,153,2302,2306,154,2374,2350,152,2253,2178,154,2417,2608,105,576,680,146,1658,1608
GUC,30,247,232,24,1289,1256,24,58,55,30,1453,1368,31,253,247,62,1339,1301,41,364,546
GUM,52,201,141,52,467,359,52,571,461,52,243,184,54,635,597,53,1300,1219,52,553,555
HDN,127,1072,1187,129,1422,1400,131,1058,1136,122,1688,1775,135,1410,1309,194,3327,3101,187,2702,2899
HIB,155,999,1008,156,2038,2262,156,4039,4373,155,1979,2274,158,2039,2206,107,2105,2213,104,2402,2765
HLN,245,1363,1468,249,499,589,234,1443,1521,248,930,1124,253,1606,1745,213,650,775,235,1274,1465
HNL,6708,36264,36711,6482,27232,28510,6677,36800,38887,6719,37087,37647,7261,41088,41162,6901,47948,44653,6800,33910,34559
HOB,101,1497,1248,72,1159,1033,83,920,978,103,1890,1854,105,639,651,54,347,457,103,200,169
HOU,8090,80456,78136,8116,78244,77634,8139,86446,84748,8095,104329,104053,8218,106963,104587,6159,66470,63591,7385,77041,74437
HPN,1071,19700,19860,1042,13387,13367,1054,12241,12587,1068,17563,19257,1098,17698,18691,834,13236,12752,961,19436,19102
