Origin,TotalFlightCount,TotalCarrierDly,TotalWeatherDly,TotalNASDly,TotalSecurityDly,TotalLateAircraftDly,AvgDly
GNV,2287,13045,173,2687,0,12196,12.29 
GPT,3149,13637,858,6000,0,12435,10.46 
GRB,3739,9912,1165,8674,16,15111,9.33 
GRK,1930,6149,106,3601,0,6244,8.34 
GRR,9215,28755,3593,25714,0,35624,10.17 
GSO,6092,22514,1774,20888,0,27665,11.96 
GSP,7157,27671,1215,22092,18,26321,10.80 
GTF,1829,9209,648,2162,11,4182,8.86 
GTR,1013,5685,0,1003,0,6396,12.92 
GUM,367,1700,74,386,0,1008,8.63 
HDN,1025,3189,631,3372,8,4769,11.68 
HIB,991,4231,899,1872,0,9124,16.27 
HLN,1677,4077,208,1237,0,1898,4.42 
HNL,47548,114247,2545,17286,219,73501,4.37 
HOB,621,2220,320,3094,0,503,9.88 
HOU,54202,176738,28695,84511,891,225094,9.52 
HPN,7128,44162,2186,24600,415,36739,15.17 
HRL,2975,4308,627,4324,0,12374,7.27 
HSV,4069,11840,944,7965,0,12071,8.07 
HYS,626,770,212,1465,0,3277,9.14 
IAD,34488,112066,32003,108069,332,126244,10.98 
IAG,398,746,22,1803,15,1434,10.10 
IAH,137377,426027,99630,350311,858,504909,10.06 
ICT,7863,30680,2789,19814,17,26611,10.16 
IDA,2483,6292,1826,3770,0,8764,8.32 
ILM,2585,17867,172,2977,0,9957,11.98 
IMT,677,1773,941,513,0,3788,10.36 
IND,27020,77350,15036,64838,36,101173,9.56 
INL,628,4801,1152,1507,0,2387,15.68 
ISN,1644,10631,1482,2196,0,3230,10.67 
ISP,4706,14021,3279,5440,0,12928,7.58 
ITH,903,6349,314,1566,0,5260,14.94 
ITO,5974,5459,897,592,13,11405,3.07 
JAC,3931,19055,2631,15373,45,23248,15.35 
JAN,5201,19070,2260,11784,0,20009,10.21 
JAX,18744,52504,5641,48150,15,74001,9.62 
JFK,98772,528773,114842,382650,7676,425154,14.77 
JMS,939,4093,169,1033,0,5542,11.54 
JNU,4580,11813,1884,3506,66,10435,6.05 
KOA,12479,21264,846,7437,468,35747,5.27 
KTN,2475,4343,724,1316,51,9975,6.63 
LAN,2434,10535,101,8166,0,12266,12.76 
LAR,626,1804,1063,1674,39,1633,9.92 
LAS,151283,479608,33769,409847,1524,741819,11.02 
LAW,1140,8040,0,1548,0,6813,14.39 
LAX,215079,870558,34797,618472,11038,1152026,12.49 
LBB,4577,8759,2579,7170,15,18386,8.06 
LBE,1046,1033,1079,7300,0,4039,12.86 
LCH,1264,5038,982,2561,0,5351,11.02 
LEX,5170,24779,350,16519,0,25329,12.95 
LFT,3095,13674,1451,6069,0,16375,12.14 
LGA,97414,431112,46893,352124,586,640948,15.11 
LGB,11163,36151,1275,31031,36,57918,11.32 
LIH,11895,17713,1518,4921,28,27207,4.32 
LIT,8393,17281,4334,17076,0,29135,8.08 
LNK,3054,9706,4095,7530,2,10970,10.58 
LRD,2123,9904,332,5460,0,10548,12.36 
LSE,756,686,995,930,0,2925,7.32 
LWS,715,1858,249,290,35,1322,5.25 
MAF,5853,12994,2613,8260,97,23156,8.05 
MBS,1995,5609,391,4948,0,12998,12.00 
MCI,43749,100065,20626,88395,606,176171,8.82 
MCO,126574,432759,82341,362773,1953,603146,11.72 
MDT,2561,11086,1529,5659,0,9942,11.02 
MDW,87809,257541,45238,136054,683,304606,8.47 
MEI,992,9100,0,1306,0,11196,21.78 
MEM,14191,41219,6175,33264,6,51806,9.33 
MFE,2226,7042,858,5148,0,11743,11.14 
MFR,2966,10457,991,15084,0,14169,13.72 
MGM,2449,13846,0,3332,0,15572,13.37 
MHT,6712,15257,3073,18639,47,18110,8.21 
MIA,71828,398925,65147,261042,1257,323495,14.62 
MKE,32613,92449,14776,80417,54,131718,9.79 
MKG,683,1496,91,3137,0,5154,14.46 
MLB,1518,4485,65,2082,0,6210,8.46 
MLI,2527,16720,617,3814,0,11485,12.91 
MLU,3073,15213,574,6027,0,17741,12.87 
MOB,4907,15757,622,12591,0,27119,11.43 
MOT,1647,8931,324,3088,29,7966,12.35 
MQT,697,8454,1725,1307,0,3000,20.78 
MRY,2544,5007,456,8308,11,16107,11.75 
MSN,7532,21037,1876,20549,0,29600,9.70 
MSO,2682,9417,282,4419,0,8090,8.28 
MSP,129591,474460,86878,382673,341,376996,10.20 
MSY,43647,102596,15140,102024,220,192069,9.44 
MTJ,1100,4854,188,2899,4,6330,12.98 
MYR,5754,9371,393,35846,60,26821,12.60 
OAJ,1269,9106,0,1586,0,6924,13.88 
OAK,48864,126277,7148,89864,803,203539,8.75 
OGG,23513,59032,3754,12543,613,61615,5.85 
OKC,15724,35194,7003,24990,623,62414,8.28 
OMA,18073,60516,7525,36269,0,61470,9.17 
OME,724,828,321,487,95,1986,5.13 
