Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
KOA,1703,8894,9297,2327,109,1100,148,3490
KTN,357,2797,2862,717,106,248,0,1469
LAN,372,6404,6842,2473,0,2127,0,1990
LAR,104,669,629,219,0,48,0,298
LAS,21690,233658,225023,56842,3825,50730,100,88678
LAW,166,1443,1535,836,0,177,0,440
LAX,31279,403956,393577,119170,6086,83442,576,145741
LBB,674,4602,4794,1072,248,980,0,1920
LBE,117,1441,1569,218,0,511,0,739
LCH,189,2253,2368,1301,355,190,0,422
LEX,784,9159,9424,2644,26,3052,0,3069
LFT,457,4544,4948,1829,25,773,0,2017
LGA,14992,195107,201180,56935,3614,55797,16,71643
LGB,1542,13592,13123,4312,1,2462,21,4975
LIH,1589,6199,6979,1610,77,826,0,2764
LIT,1253,11364,10917,3003,467,2671,0,3764
LNK,437,4258,4724,952,56,1649,0,1758
LRD,332,2999,3075,1168,33,870,0,818
LSE,114,562,711,12,26,187,0,414
LWS,101,105,105,25,0,22,0,32
MAF,903,7449,7940,1860,363,1588,0,3462
MBS,302,2626,2814,59,87,1023,0,1435
MCI,6480,56446,57719,13382,2325,13099,21,22753
MCO,17697,188249,183345,51174,5978,45403,148,63110
MDT,392,4352,4555,1528,31,1377,0,1287
MDW,13025,149005,141309,41983,8546,23135,35,52480
MEI,156,3322,3359,1699,0,104,0,1391
MEM,2087,20615,20890,4423,1198,5738,0,7765
MFE,328,4571,4626,1720,452,774,0,1537
MFR,435,5333,5053,1102,87,1967,0,1513
MGM,371,4458,4485,1205,0,600,0,2359
MHK,1,0,0,,,,,
MHT,991,9244,9630,2765,244,3286,0,2583
MIA,10112,144275,152893,49631,12232,37117,142,42101
MKE,4922,48007,49671,13132,2486,11886,0,17948
MKG,104,1257,1426,0,51,795,0,526
MLB,225,1871,1759,235,0,335,0,1076
MLI,383,4892,5168,2540,0,1006,0,1219
MLU,454,4648,4946,1236,71,780,0,2474
MMH,15,70,61,0,0,6,0,55
MOB,739,7292,8166,1724,18,2279,0,3335
MOT,252,2103,2425,802,69,519,6,855
MQT,105,1659,1865,664,0,222,0,839
MRY,376,3522,3952,617,0,1102,0,1971
MSN,1172,12019,12661,2344,527,4347,0,4743
MSO,398,1413,1497,259,25,321,0,576
MSP,19418,196008,220447,68851,18684,66235,18,47083
MSY,6418,68729,67867,15327,2168,16220,0,27887
MTJ,157,1575,1725,20,6,614,0,1005
MVY,21,388,379,137,0,136,0,90
MYR,797,12318,12209,1226,294,4228,0,5848
OAJ,194,3837,3855,2474,0,201,0,989
OAK,7297,67493,65943,18294,526,11006,0,26204
OGG,3228,18841,19482,6295,170,1579,11,7189
OKC,2346,17539,17238,4533,698,3286,0,6747
OMA,2700,27890,28025,9061,975,5594,0,10283
OME,104,754,848,342,0,19,0,269
ONT,2892,25849,25192,4624,410,6609,0,10462
ORD,36305,609803,630411,161910,45883,138783,239,244748
ORF,1669,18765,17928,6066,200,5027,0,5426
ORH,103,1125,1059,185,1,154,0,617
OTH,38,358,332,0,0,71,0,231
OTZ,104,274,363,55,8,26,0,136
PAH,104,1838,1951,594,42,1001,0,236
PBG,28,184,201,52,0,109,0,21
PBI,3506,42817,40501,8128,1813,12064,104,14826
PDX,8516,65040,66995,18433,1630,18296,6,19455
PGD,9,155,130,34,0,0,0,96
PHF,163,1239,1274,87,0,404,0,689
PHL,10902,107111,121273,36254,4528,38289,438,31039
PHX,23524,215777,221093,68196,3033,46256,434,74188
PIA,435,5393,6051,1094,1415,1303,0,1780
PIB,104,2141,2367,1660,0,264,0,379
PIH,148,1325,1622,4,3,269,0,1203
PIT,3815,28524,28576,7224,406,6456,2,11320
PLN,169,1561,1533,209,36,120,0,1050
PNS,846,7394,6721,1641,70,1386,0,3048
PPG,14,1445,1471,14,0,0,0,1445
PSC,554,5118,5343,2400,2,832,0,1579
PSE,123,611,566,0,0,44,0,419
PSG,104,699,755,30,40,47,0,574
PSP,1340,20873,21572,8751,41,6158,0,5375
PVD,1883,15317,15287,3772,837,4318,0,4782
PWM,923,12585,12961,4040,14,4583,0,3596
RAP,433,4719,4722,1120,139,761,0,2287
RDD,143,2391,2248,1090,0,403,0,678
RDM,406,6131,6381,2117,397,1275,0,2192
RDU,5202,54100,55123,15581,1368,12867,18,20284
RHI,156,2108,2527,1007,103,325,0,901
RIC,2429,30583,31828,10903,1336,8425,0,9070
RKS,101,474,472,233,0,28,0,161
RNO,2046,20931,20580,6060,452,4092,13,8047
ROA,335,3128,3234,743,0,651,0,1478
ROC,1098,10435,10214,2619,188,3023,0,3474
ROW,47,82,184,10,0,48,0,37
RST,180,2142,2158,1062,0,236,0,770
RSW,4041,49959,47949,11424,1870,12881,90,18091
SAF,166,2892,3057,1017,0,366,0,1446
SAN,11421,99090,96463,24535,1749,23763,145,33249
SAT,4595,43235,43352,13709,1454,7520,0,15519
SAV,1061,13240,12786,4949,338,3316,0,3385
SBA,880,14334,14887,4022,0,5095,98,4850
SBN,806,9599,9940,4094,266,2298,0,2459
SBP,450,4614,5109,1130,168,1525,0,1984
SCC,104,477,533,4,54,53,0,353
SCE,103,1409,1500,375,18,512,0,478
SDF,1467,15639,15342,5390,580,3548,0,4369
SEA,19246,139357,148888,46632,1696,39926,109,37604
SFO,25277,293361,285576,76913,3221,47703,295,131571
SGF,402,3238,3509,653,40,1142,0,1336
SGU,299,1434,1817,610,33,320,0,472
SHV,893,9766,9960,4907,265,1374,0,2608
SIT,199,1263,1406,417,136,135,0,558
SJC,6396,50692,50682,15148,503,8760,134,18996
SJT,144,1366,1544,414,0,56,0,856
SJU,3562,37536,35600,9716,927,4617,13,16838
SLC,15972,103870,106243,34638,3717,24357,0,27534
SMF,6191,55769,55561,13661,952,9321,2,24205
SMX,80,1477,1494,559,0,142,0,728
SNA,6457,55111,54362,10272,1362,14146,0,21515
SPI,246,2110,2298,381,0,946,0,692
SPS,121,872,1032,230,0,189,0,562
SRQ,466,8346,7262,2939,304,1390,0,2166
STL,8375,98592,98665,23360,5956,19810,0,39609
STT,616,6494,6637,1088,118,1465,0,3627
STX,166,1644,1566,142,0,182,277,847
SUN,169,1467,1601,182,0,803,0,498
SWF,104,1073,1040,275,76,132,0,485
SYR,866,10839,12158,3720,558,3011,12,4159
TLH,378,3744,3751,942,0,520,0,2120
TPA,9816,105794,102830,22331,4120,27191,0,40526
TRI,334,5451,5080,2941,250,390,0,1331
TTN,299,4188,4357,1242,0,819,0,2037
TUL,2114,15420,15528,3557,653,4354,0,5190
TUS,2313,24610,25017,7901,515,5972,0,8301
TVC,294,3348,3493,579,142,731,0,1752
TWF,160,384,428,0,61,132,15,116
TXK,130,1016,1278,192,0,115,0,732
TYR,60,10,61,,,,,
TYS,1064,13537,14606,4723,382,3534,0,4752
UST,27,269,294,125,45,102,0,1
VLD,156,1748,1714,722,0,32,0,778
VPS,604,7911,7875,3904,6,1548,0,2064
WRG,104,1251,1319,932,51,125,0,158
WYS,27,118,119,12,0,28,0,43
XNA,917,10352,10736,3010,510,2293,0,4193
YAK,104,289,312,111,0,15,0,132
YUM,273,1221,1311,347,0,316,0,427
,,,,,,,,
