Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
TUL,2184,18671,19176,3717,738,4250,0,8422
TUS,2399,29234,29328,6048,1982,8319,0,10544
TVC,314,3694,3700,885,0,652,0,1944
TWF,171,2586,2869,771,655,401,0,872
TXK,135,2977,3146,1540,0,170,0,1267
TYR,64,552,574,8,0,241,0,293
TYS,1134,15212,15503,5596,20,3261,0,5538
UST,29,502,507,8,45,41,0,379
VLD,156,2699,2760,1223,0,160,0,1211
VPS,636,5551,5564,690,483,923,0,2992
WRG,106,855,911,368,0,42,0,431
WYS,37,173,137,0,0,0,0,62
XNA,944,14959,15330,5232,286,3399,0,5581
YAK,104,264,367,1,35,49,0,204
YUM,303,2248,2316,679,0,344,0,983
,,,,,,,,
,,,,,,,,
