Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
IAH,10886,94784,83488,26327,3544,19514,0,25350
ICT,637,6146,5744,3025,0,871,17,1302
IDA,195,1406,1363,587,19,56,0,505
ILM,246,1077,1097,321,0,107,0,533
IMT,55,677,761,254,295,109,0,77
IND,2032,14520,12787,3046,861,2824,0,4571
INL,51,905,945,546,0,107,0,259
ISN,87,985,1024,407,25,189,0,361
ISP,384,2303,1298,651,0,63,0,332
ITH,81,2020,1852,1160,153,32,0,468
ITO,468,1292,1637,192,31,98,0,585
JAC,81,557,780,99,241,153,0,201
JAN,431,3638,3435,1057,26,366,0,1726
JAX,1483,10272,10377,3969,0,2586,0,2682
JFK,7582,65209,45130,21931,858,7156,194,10266
JMS,80,616,583,77,0,19,0,470
JNU,309,1752,2420,810,70,706,0,511
KOA,979,4236,4985,963,25,811,0,2087
KTN,174,1619,1788,129,63,176,0,1298
LAN,179,1494,1403,364,0,289,0,685
LAR,51,388,368,299,0,19,0,0
LAS,12118,87035,94161,21742,949,25299,196,30450
LAW,114,1271,1335,587,0,113,0,547
LAX,17044,172643,177846,48853,2401,41938,259,61244
LBB,367,2560,2708,623,0,520,0,1274
LBE,77,484,520,9,0,72,0,427
LCH,139,2579,2721,2085,0,187,0,337
LEX,475,5209,5602,1688,0,1886,0,1655
LFT,271,3022,3169,1254,18,242,0,1460
LGA,7438,113140,96872,23109,947,14964,41,53479
LGB,1015,8564,8544,2712,75,1496,0,3427
LIH,886,2627,3213,493,12,467,0,1230
LIT,686,6518,6112,1254,402,1655,0,2336
LNK,239,2376,2436,893,0,533,0,854
LRD,179,2374,2554,869,0,331,0,1232
LSE,49,235,330,0,0,48,0,219
LWS,58,190,165,0,0,0,0,144
MAF,500,4261,4213,2228,69,494,0,930
MBS,138,1005,1120,110,0,175,0,776
MCI,3530,22117,20562,5388,440,3734,30,8152
MCO,10161,74375,73104,22195,842,18010,125,22210
MDT,282,3436,3122,647,559,271,0,1322
MDW,6893,58044,48215,11762,3122,7784,0,18622
MEI,81,2878,2918,1647,0,141,0,1062
MEM,1213,9578,8695,3107,15,1796,0,2834
MFE,189,839,1040,72,0,476,0,366
MFR,230,2637,2781,458,0,1007,0,1109
MGM,210,4449,4282,1275,0,209,0,2658
MHT,565,4356,3299,1186,0,973,0,848
MIA,5498,50330,51203,20663,11,13693,80,11083
MKE,2477,20065,17733,3862,1497,4417,0,6281
MKG,55,1388,1394,832,0,113,0,423
MLB,108,349,481,117,0,194,0,96
MLI,259,3812,3807,1970,103,364,0,1127
MLU,236,5049,5102,3390,0,466,0,1028
MOB,450,3364,3502,744,0,706,0,1785
MOT,107,2845,3153,1915,1,541,0,652
MQT,55,1107,1219,501,457,164,0,57
MRY,259,3215,3688,666,65,1156,0,1621
MSN,594,6175,5879,1958,156,1552,0,1809
MSO,168,1352,1306,675,13,83,0,403
MSP,10235,98313,101619,33328,8209,26648,0,25898
MSY,3713,28269,26827,6821,421,5640,0,10454
MTJ,11,0,0,,,,,
MYR,333,4238,4293,530,0,2094,0,1429
OAJ,104,901,974,493,0,120,0,279
OAK,4089,31362,31575,8883,305,5851,184,10970
OGG,1846,8014,9909,3244,64,1078,0,3021
OKC,1263,11803,11097,2337,444,1459,542,5472
OMA,1557,13334,12678,5285,0,2547,0,3734
OME,58,251,263,61,90,8,0,31
ONT,1609,13137,13143,2169,27,3575,67,5346
ORD,19488,207776,197180,59968,6881,42597,49,69574
ORF,816,7723,6872,2740,30,1414,0,2359
ORH,58,459,304,107,0,0,0,177
OTH,16,247,266,0,0,60,0,185
OTZ,58,250,303,88,74,49,0,0
PAH,55,479,588,127,0,154,0,267
PBG,40,228,143,15,0,64,0,34
PBI,2031,22413,23409,5482,70,8444,0,7290
PDX,4789,29198,30799,8569,671,7350,0,8886
PGD,40,461,396,34,0,61,0,246
PHF,87,847,678,481,0,19,0,130
PHL,5980,42836,33646,12103,109,6295,263,11094
PHX,12744,98050,106791,24598,1745,24181,1191,39160
PIA,206,3496,3652,698,1562,356,0,805
PIB,52,1121,1063,862,0,22,0,140
PIH,78,1009,1201,114,19,181,0,804
PIT,2164,15504,12407,3325,266,1792,31,5382
PLN,77,856,703,127,24,36,0,483
PNS,444,2350,2234,757,0,262,0,961
PPG,8,8,14,,,,,
PSC,287,4894,4584,1390,1227,526,0,1264
PSE,69,206,218,24,0,28,0,135
PSG,58,329,362,6,0,25,0,303
PSP,907,9826,11072,3495,327,3690,0,2653
PVD,1127,7899,6031,1376,77,1424,0,2484
PWM,445,5291,4722,2094,0,876,0,1516
RAP,153,891,829,208,18,37,0,488
RDD,90,710,593,0,0,354,0,166
RDM,260,2436,2669,967,0,906,0,612
RDU,2927,23078,22254,5161,404,5825,31,7995
RHI,84,1201,1377,134,205,152,0,790
RIC,1295,16516,15510,7017,11,3230,0,4277
RKS,55,106,132,0,0,5,0,96
RNO,1154,10921,11142,3353,118,2751,0,3831
ROA,188,1743,1468,274,0,233,0,773
ROC,623,7581,7148,1516,343,2061,0,2847
ROW,52,653,793,9,25,155,0,555
RST,104,1741,1818,816,375,130,0,430
RSW,2488,14075,15349,3254,655,4920,0,4561
SAF,106,2113,2200,514,0,131,0,1411
SAN,6313,50569,52754,10530,1413,15030,37,17505
SAT,2631,19848,19256,4586,429,3585,0,7678
SAV,586,7326,7146,2680,0,2523,0,1547
SBA,466,5870,6490,749,0,2235,0,2884
SBN,441,6171,5777,1769,443,1100,33,2098
SBP,265,3481,3844,724,246,952,0,1696
SCC,59,151,187,0,112,19,0,0
SCE,57,771,856,263,0,95,0,428
SDF,797,8048,7529,2807,5,1669,0,2544
SEA,10171,64176,71552,25251,2025,16903,7,14091
SFO,13874,145430,144778,39945,2174,22297,91,64249
SGF,202,2583,2435,572,8,213,0,1495
SGU,198,1362,1729,469,0,255,0,660
SHV,493,5314,5615,2254,105,1124,0,1722
SIT,83,537,545,66,82,30,0,297
SJC,3596,27933,29798,7138,1080,6359,87,10340
SJT,85,1496,1594,703,0,69,0,688
SJU,2045,13609,14179,4822,388,2305,1,4764
SLC,8582,48402,53567,17207,2901,14657,106,12133
SMF,3499,28164,29142,6276,145,6372,109,11084
SNA,3450,25424,26716,4827,1506,8076,0,8001
SPI,136,1922,1878,872,0,373,0,571
SPS,82,1483,1545,1114,0,119,0,267
SRQ,227,1323,1220,564,0,150,0,347
STL,4657,40071,35589,9451,1483,7713,0,12187
STT,339,1592,1617,485,55,306,0,548
STX,86,431,472,45,0,58,0,299
SUN,58,513,488,0,171,4,0,310
SWF,58,913,671,155,0,8,0,494
SYR,466,5300,5849,2374,486,1627,0,958
TLH,190,973,884,428,0,65,0,297
TPA,5507,32997,33392,9683,473,8084,55,10672
TRI,189,1253,1053,269,0,111,0,560
TTN,180,2114,1699,883,0,33,0,668
TUL,1150,9029,9213,2405,149,2978,0,2821
TUS,1423,12354,12803,3886,286,3209,0,3851
TVC,106,2400,2251,78,0,64,0,2034
TWF,82,381,492,0,31,48,0,308
TXK,51,386,412,172,0,28,0,168
TYS,608,6010,5618,2690,20,1046,0,1560
VLD,83,401,444,203,0,21,0,141
VPS,285,2079,1927,539,6,277,0,945
WRG,58,743,738,371,0,3,0,339
XNA,449,4922,4918,1916,0,1094,0,1695
YAK,58,149,214,0,35,50,0,104
YUM,145,1709,1742,851,52,539,1,162
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
