Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
IAG,25,233,195,16,0,2,0,176
IAH,11747,198450,191315,48900,24284,36077,94,71552
ICT,610,5665,5274,1503,141,1054,0,2220
IDA,208,524,871,9,159,264,0,240
ILM,220,4818,4917,3324,0,395,0,1118
IMT,56,443,342,0,0,0,0,328
IND,2463,36679,35487,9761,1668,6541,0,15162
INL,52,1134,1124,862,125,72,0,49
ISN,146,1768,1593,975,80,148,0,312
ISP,397,5978,5627,2371,783,302,0,1841
ITH,86,797,996,574,0,242,0,120
ITO,511,1969,2380,386,17,57,0,1242
JAC,356,4894,4832,1963,87,1190,0,1334
JAN,444,6192,6073,2037,56,1471,0,2218
JAX,1622,22615,22251,5484,518,6564,0,8345
JFK,8437,139426,150365,49283,4032,40085,807,47765
JLN,60,517,616,369,0,106,0,110
JMS,74,1854,1759,1264,0,7,0,431
JNU,483,2871,2858,970,166,195,58,1024
KOA,1106,10371,10646,3696,0,628,30,5000
KTN,262,1171,1174,85,0,94,0,748
LAN,230,1672,1900,197,0,698,0,828
LAR,52,761,820,113,365,64,0,239
LAS,12796,204097,198520,60107,8182,34458,128,77852
LAW,83,845,1026,589,0,164,0,221
LAX,19078,337387,329832,102680,2098,57539,641,138256
LBB,364,5183,4989,965,393,553,0,2797
LBE,81,734,679,121,28,50,0,445
LCH,73,1046,1127,28,119,267,0,672
LEX,406,5607,5509,1872,61,982,0,2271
LFT,248,4258,4416,1250,232,1081,0,1651
LGA,8418,165406,178074,49021,2186,42816,168,76211
LGB,968,9550,8902,3741,0,1817,0,2346
LIH,1104,7933,9041,3230,26,685,0,3918
LIT,703,7763,7502,1913,194,1389,0,3460
LNK,267,2074,2395,732,126,619,0,685
LRD,151,2391,2528,316,0,976,0,1156
LSE,23,55,30,0,0,0,0,29
LWS,60,46,62,0,0,0,0,26
MAF,469,5870,6160,949,152,1437,65,3252
MBS,233,967,923,146,0,150,0,582
MCI,3894,46989,45954,11541,958,7731,47,21976
MCO,10615,161816,167165,40741,13111,42534,198,60040
MDT,179,2326,2258,1211,29,374,0,465
MDW,7917,100286,86461,29651,3349,11695,164,32014
MEI,82,2310,2380,1108,0,63,0,1156
MEM,1296,19018,18375,5424,1159,3277,0,7367
MFE,160,3938,3906,1039,409,961,0,1357
MFR,260,2909,2736,107,0,1236,0,1159
MGM,200,3252,3273,909,0,512,0,1706
MHK,1,0,0,,,,,
MHT,633,6604,6294,1903,168,1435,0,2312
MIA,5857,114141,126959,39814,9818,31377,173,38387
MKE,2933,34402,32934,12051,1437,4497,33,12328
MKG,56,619,593,11,0,341,0,138
MLB,142,2087,2097,244,17,339,0,1426
MLI,286,3987,4134,1550,145,372,0,1811
MLU,286,4093,4522,1109,208,779,0,2154
MOB,396,5315,5838,2210,0,748,0,2520
MOT,169,2582,2525,1247,0,151,0,1052
MQT,60,199,235,0,0,28,0,188
MRY,206,2179,2200,318,0,425,0,1180
MSN,668,6192,6008,649,48,1744,0,3328
MSO,259,1490,1503,471,187,263,0,394
MSP,11466,133633,138249,45317,8325,29121,48,43254
MSY,3602,55604,55189,10159,2541,11103,2,27587
MTJ,60,644,610,19,120,111,0,336
MVY,48,1157,1068,139,427,183,0,288
MYR,609,7550,7540,1466,15,2050,25,3367
OAJ,113,2238,2536,1645,0,352,0,385
OAK,4372,56440,57101,15722,475,8479,0,25081
OGG,2027,15987,17284,5590,189,1359,0,7083
OKC,1261,16372,15172,4190,407,1812,0,7676
OMA,1476,19702,18508,5722,439,2957,0,7971
OME,60,184,229,21,0,6,0,123
ONT,1630,17124,16086,2106,467,2525,0,8853
ORD,21692,325006,312363,100932,5847,58593,168,124608
ORF,971,14144,13783,5500,341,2451,0,4562
ORH,60,1214,1318,173,0,274,0,802
OTH,32,325,319,0,0,64,0,213
OTZ,60,117,122,15,0,3,0,50
PAH,56,375,433,0,0,230,0,159
PBG,26,469,405,7,0,142,0,237
PBI,1656,26803,27782,6509,1252,8716,0,9603
PDX,5361,52050,52357,13924,202,10994,67,20255
PHF,109,980,959,229,0,132,0,495
PHL,6389,84502,98996,28731,2435,29510,35,31827
PHX,13691,173577,177980,59859,2551,32263,144,64788
PIA,287,1628,1722,530,17,398,0,491
PIB,52,558,577,69,0,51,0,417
PIH,82,176,323,0,0,65,0,173
PIT,2234,22632,22460,5671,442,4738,48,9627
PLN,108,1106,962,334,0,34,0,511
PNS,573,6163,5627,1187,224,1102,28,2603
PPG,13,0,0,,,,,
PSC,326,1396,1806,178,0,482,0,795
PSE,79,845,924,187,0,111,0,551
PSG,60,201,239,24,0,75,0,125
PSP,599,7869,7920,3726,316,1797,0,1636
PVD,1070,9055,9131,1751,588,2703,0,3193
PWM,536,7266,7066,2167,126,2068,0,2431
RAP,302,3796,4104,1963,181,372,0,1271
RDD,90,725,712,0,0,316,0,356
RDM,300,4293,4851,1717,332,1043,0,1387
RDU,3146,42723,42659,10681,748,10832,3,17466
RHI,86,828,849,645,0,49,0,85
RIC,1370,26517,26402,11078,194,5001,0,8811
RKS,56,432,424,0,0,21,0,378
RNO,1266,14593,14618,2922,103,2907,1,7126
ROA,197,2185,2324,446,3,628,0,1075
ROC,634,7363,7340,2694,207,1644,0,2313
ROW,34,235,272,28,38,7,0,115
RST,75,653,615,153,0,53,0,386
RSW,1625,24224,24247,5410,1103,5465,0,10846
SAF,116,2764,2995,899,0,277,0,1674
SAN,6870,71692,76331,17220,464,17226,231,32111
SAT,2682,38237,37488,8444,1755,6685,69,17227
SAV,611,9241,9062,2115,1288,2297,0,2832
SBA,497,6901,6856,1778,275,1641,0,2742
SBN,453,3297,3027,1090,187,284,0,1124
SBP,278,3216,3514,726,0,486,12,1887
SCC,76,361,368,0,108,27,0,226
SCE,60,584,651,145,0,174,0,262
SDF,955,12685,12046,2836,582,2395,0,5077
SEA,12512,131562,132982,42020,1890,26680,37,44980
SFO,14927,197053,199417,57998,2127,42143,246,79375
SGF,304,4279,4574,1443,197,825,0,1884
SGU,162,898,816,159,28,27,0,528
SHV,532,7447,7871,4309,4,1009,0,2146
SIT,172,780,898,359,0,53,0,295
SJC,3721,47508,47729,15730,806,7419,37,18450
SJT,90,1751,1838,1062,0,106,0,563
SJU,2399,24268,25472,6410,0,4529,28,11736
SLC,9310,84623,84508,29629,1486,16180,50,26342
SMF,3607,45829,45598,9984,542,8069,5,21921
SMX,60,711,739,340,0,35,0,312
SNA,3606,35039,33795,5513,774,7606,0,14865
SPI,150,1551,1640,243,0,166,0,1145
SPS,90,1288,1366,835,0,78,0,357
SRQ,209,2294,2334,398,0,739,0,1039
STL,4721,68452,62949,17008,1066,9297,275,29352
STT,429,6432,6530,2749,10,1000,0,2567
STX,98,1191,1551,615,12,443,0,389
SUN,100,665,762,65,0,64,0,558
SWF,60,963,932,337,0,72,0,509
SYR,435,3741,3632,733,0,1059,0,1572
TLH,257,2383,2716,785,1,567,0,1095
TPA,5543,83666,83547,18994,4693,17721,0,36082
TRI,202,3545,3628,1876,0,428,0,1244
TTN,181,3085,3131,476,38,1135,0,1383
TUL,1087,15032,14665,3714,675,2217,64,7068
TUS,1278,16752,16246,5514,636,3090,0,5588
TVC,243,2295,2329,762,12,532,0,880
TWF,86,108,120,0,16,16,0,24
TXK,80,2917,2997,1283,0,99,0,1532
TYS,649,9861,9883,3368,8,1883,0,4067
UST,29,120,110,18,0,57,0,0
VLD,86,1578,1575,1113,0,67,0,346
VPS,385,6442,6300,2397,117,1211,0,2272
WRG,60,226,242,40,0,28,0,142
WYS,51,272,261,58,0,11,0,100
XNA,537,8195,8179,2789,76,1895,0,2970
YAK,60,147,209,0,0,29,0,125
YUM,167,726,784,5,79,44,0,542
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
