Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,163,3088,3141,1057,205,787,0,975
ABQ,1340,8021,7770,2452,0,899,0,3068
ABR,58,359,566,50,13,125,12,226
ABY,78,1323,1261,458,0,75,0,687
ACT,139,749,757,13,0,104,0,523
ACV,116,2614,2666,781,284,428,0,1127
ACY,290,5591,6786,1385,0,4024,19,867
ADK,8,26,41,0,0,17,24,0
ADQ,39,80,90,0,0,6,0,61
AEX,207,3942,3861,1350,0,334,0,1972
AGS,173,2606,2427,392,0,149,0,1760
ALB,676,5041,4133,1212,0,1278,0,1197
AMA,224,956,1001,529,0,246,0,92
ANC,1125,4397,5377,2199,203,873,0,943
APN,50,986,982,6,0,53,0,891
ASE,661,10100,9464,2009,850,1857,0,4114
ATL,28746,288136,253875,97132,11808,46370,138,70682
ATW,246,2135,2561,632,377,747,0,587
AUS,3328,21804,20663,6241,114,4078,0,7504
AVL,183,4267,4064,1521,655,245,0,1504
AVP,124,1768,1763,539,4,420,0,762
AZO,202,2523,3125,988,0,747,0,1204
BDL,1434,19703,19120,6495,2125,4226,0,5027
BET,79,317,359,46,0,7,0,260
BFL,192,3611,3668,2373,0,284,0,879
BGM,81,1692,1399,616,14,16,0,688
BHM,910,8993,8679,2406,183,1631,14,3723
BIL,268,1320,1372,122,189,206,0,733
BIS,172,2234,2437,935,28,227,0,1041
BJI,58,651,551,47,0,28,0,421
BLI,86,383,434,235,16,52,0,32
BMI,77,938,1153,534,0,228,0,305
BNA,3658,30033,30971,7905,1188,7069,12,11390
BOI,1139,12678,12952,5140,105,2756,0,3986
BOS,8796,149598,146117,37211,21182,36954,235,44062
BPT,64,845,814,349,0,61,0,364
BQK,81,1400,1315,460,0,52,0,788
BQN,118,1904,1875,47,0,481,0,1262
BRD,50,461,462,253,0,0,0,159
BRO,187,841,736,374,0,28,0,255
BRW,75,355,364,73,0,13,0,235
BTM,54,100,150,0,0,60,0,59
BTR,565,7084,7229,4317,44,948,0,1347
BTV,296,7882,7901,3754,149,2083,0,1582
BUF,1284,18477,18377,5202,2341,3756,6,6145
BUR,1688,9495,9608,2124,282,2165,0,3699
BWI,6685,64883,60446,17352,4969,12195,89,20116
BZN,302,2241,2058,410,19,1044,0,361
CAE,415,6514,6422,2474,0,1095,0,2521
CAK,506,6540,6260,2640,37,1480,0,1620
CDC,50,466,515,9,0,32,0,417
CDV,58,195,187,187,0,0,0,0
CHA,354,5415,5350,2191,1,651,0,2130
CHO,156,3456,3599,1908,37,716,0,861
CHS,938,9837,10139,3360,31,2448,0,3542
CID,327,3520,3849,932,37,759,0,1847
CIU,58,1174,1243,736,0,100,0,302
CLE,2600,36322,36307,12011,371,13238,21,8696
CLL,50,511,484,0,0,476,0,0
CLT,8725,86772,93520,28249,2756,26513,198,26961
CMH,1717,15951,18035,4469,1095,5772,0,5144
CMX,58,1321,1525,280,0,610,0,573
COD,29,361,407,1,0,25,0,314
COS,565,7355,7734,3325,414,2560,0,1046
CPR,84,872,964,383,0,180,1,362
CRP,234,272,470,44,0,162,0,150
CRW,181,2870,3101,718,55,564,0,1597
CSG,94,1444,1431,341,0,81,0,926
CVG,1298,15918,17957,4909,450,6321,0,4963
CWA,57,369,469,37,0,246,0,156
DAB,159,2093,2082,848,82,173,0,828
DAL,5436,29995,26929,7930,1735,4852,43,7346
DAY,485,6836,6961,1353,1136,2237,0,1732
DCA,6193,72835,78071,17275,7361,18849,1,29525
DEN,16533,132701,125578,34530,6467,31615,95,40491
DFW,15430,130746,133845,50821,317,31486,122,34783
DHN,103,1947,1706,249,0,121,0,1230
DLH,192,2162,2553,92,1053,755,0,490
DRO,98,198,394,37,45,105,0,64
DSM,636,7395,8672,2145,589,2274,0,2952
DTW,9201,118149,121868,41059,3104,37244,62,32976
DVL,46,1239,1196,27,607,85,0,425
EAU,55,230,246,0,0,142,0,77
ECP,302,2494,2731,737,207,322,0,1153
EGE,304,3556,3447,309,354,821,0,1792
EKO,50,280,410,0,0,25,0,278
ELM,181,1542,1576,614,0,288,0,497
ELP,806,2643,2349,484,0,258,0,1031
ERI,53,408,421,16,0,164,0,178
ESC,50,923,923,527,0,13,0,333
EUG,277,4498,4576,1065,360,1024,0,1938
EVV,206,3331,4096,610,0,1454,0,1714
EWN,55,1155,1166,369,0,64,0,653
EWR,8522,132588,117126,33112,8030,21410,48,48388
EYW,176,1542,1388,883,0,145,0,291
FAI,162,372,463,189,0,89,0,36
FAR,324,2419,2221,567,43,378,0,957
FAT,551,4517,4617,2026,47,970,0,1128
FAY,134,1702,1425,293,0,49,0,901
FCA,136,995,964,0,452,52,0,404
FLG,147,862,870,0,344,54,0,354
FLL,7346,113469,105837,33389,4231,30900,152,30602
FNT,336,1739,1863,313,50,587,0,678
FSD,340,2817,3378,481,214,1000,0,1399
FSM,143,1168,1039,142,0,1,0,810
FWA,311,4947,5182,1524,0,976,0,2403
GCC,83,413,429,259,0,13,0,104
GEG,790,4973,4508,1598,53,377,13,1889
GFK,110,1522,1736,681,51,239,0,668
GJT,195,751,962,11,0,177,0,641
GNV,176,2166,2133,538,0,303,0,1124
GPT,246,1974,2336,1194,0,449,0,519
