Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
PIB,54,1068,1508,661,0,422,0,382
PIH,84,88,422,0,0,279,0,42
PIT,2065,17466,17115,7005,545,3109,0,4867
PLN,81,1010,841,0,0,19,0,758
PNS,495,4237,4180,1188,146,794,0,1717
PPG,8,50,40,36,0,0,0,0
PSC,337,2713,3473,390,74,1108,0,1424
PSE,62,393,364,0,0,12,0,293
PSG,62,268,299,47,0,18,0,183
PSP,1254,21568,22811,7394,87,7279,24,6326
PVD,1056,9179,9413,1698,197,3794,0,2783
PWM,397,4172,4870,1034,62,1783,0,1669
RAP,174,1511,1679,389,5,245,0,807
RDD,62,1451,1415,32,0,411,0,933
RDM,183,2448,2971,116,0,1388,0,1323
RDU,2810,23311,22488,6771,211,5609,0,7505
RHI,89,549,639,12,59,88,9,366
RIC,1327,13710,13847,5251,3,4032,0,3510
RKS,58,194,252,14,0,13,0,119
RNO,1106,19710,20831,5494,2692,4006,29,7084
ROA,164,894,1194,384,0,346,0,302
ROC,611,4743,4858,1860,191,1024,10,1276
ROW,33,154,293,0,0,23,0,87
RST,115,1071,1011,277,0,49,0,609
RSW,4174,61462,56736,9584,502,16003,90,27031
SAF,91,2284,2400,1196,0,223,0,870
SAN,6449,66685,67725,13623,1178,21365,70,23643
SAT,2560,25881,25801,8371,1117,3755,10,9892
SAV,637,7420,6755,1907,125,1982,0,2235
SBA,480,9584,10112,1941,0,4277,98,3375
SBN,463,5638,6013,2438,29,893,0,2052
SBP,287,3802,4152,146,0,1404,0,2338
SCC,79,166,264,15,0,85,0,114
SCE,62,662,712,62,18,314,0,255
SDF,775,7928,7846,2495,435,1919,16,2308
SEA,10288,82707,91416,27967,779,24480,100,23102
SFO,14259,273945,269418,66866,2210,30603,166,153515
SGF,235,1795,2013,63,199,758,0,765
SGU,182,1432,1556,750,69,180,0,323
SHV,502,5167,5587,1742,584,758,0,1999
SIT,93,1247,1019,551,37,12,0,365
SJC,3265,29565,29245,8567,299,3861,133,11658
SJT,82,2067,2293,1408,0,209,0,525
SJU,2407,27625,26822,8144,0,4161,71,11570
SLC,9530,71509,82480,24611,2315,22892,23,21546
SMF,3342,33535,33064,7188,423,5124,0,15938
SMX,62,1590,1684,309,0,453,0,892
SNA,3573,33931,33708,5139,598,10083,0,13272
SPI,151,1743,1879,543,0,374,0,888
SPS,87,1162,1144,115,0,87,0,915
SRQ,453,7755,7180,1691,144,1725,16,3278
STL,4645,46287,45730,11061,1977,8858,27,18770
STT,531,6999,6449,1363,0,1193,41,3376
STX,106,1483,1395,409,0,156,246,438
SUN,138,1162,1602,8,0,624,0,761
SWF,62,772,957,227,10,389,0,269
SYR,595,6728,7063,2636,2,1704,0,2135
TLH,260,1308,1280,403,0,195,0,541
TPA,6824,80918,70627,14411,801,17747,15,31672
TRI,169,1839,1687,922,0,60,0,603
TTN,153,2458,2358,870,26,831,0,580
TUL,1219,10149,10929,2467,676,2125,0,4531
TUS,1488,18904,18950,5155,1405,4323,15,6331
TVC,134,1532,1749,987,127,208,0,266
TWF,108,768,794,305,69,71,0,246
TXK,80,986,1124,549,0,125,0,393
TYR,54,138,143,0,0,0,0,105
TYS,573,6018,6683,1533,0,1766,0,2778
VLD,89,472,526,36,0,40,0,292
VPS,397,4398,4643,2008,40,869,0,1444
WRG,62,274,267,0,0,24,0,242
XNA,481,6649,6769,2213,15,1609,0,2430
YAK,62,331,335,0,0,13,0,320
YUM,177,689,845,0,0,104,0,495
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
