Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
LAN,363,5360,5685,2469,0,654,0,2194
LAR,104,1907,1954,618,616,112,19,457
LAS,21821,245452,243365,66400,3344,56889,373,89020
LAW,162,3913,4064,1744,0,301,0,1915
LAX,31627,473871,454918,135650,5726,90238,1123,180565
LBB,677,6440,6311,1813,438,1455,15,2110
LBE,165,1702,1721,36,0,1036,0,551
LCH,190,2062,2268,515,0,671,0,965
LEX,786,10083,9632,3673,187,1801,0,3224
LFT,472,9420,9372,4520,203,1191,0,3099
LGA,14964,247777,242585,62197,8741,48893,85,109683
LGB,1637,16728,17203,3857,415,4558,15,6498
LIH,1606,7517,7891,1856,285,512,0,3739
LIT,1255,10693,11112,2974,628,2402,0,4187
LNK,450,3981,4405,1259,385,765,0,1646
LRD,324,4482,4548,1246,75,916,0,2125
LSE,107,703,732,4,18,101,0,542
LWS,103,419,495,16,0,53,0,327
MAF,903,7218,7665,1335,206,1211,0,4172
MBS,288,3533,3692,403,0,489,0,2645
MCI,6492,61398,62609,16091,2016,11007,38,26642
MCO,17962,237003,227379,66330,11391,48714,682,83045
MDT,384,5642,5621,1565,619,693,0,2302
MDW,12900,119631,105854,33812,4139,17627,280,34999
MEI,156,2568,2775,552,0,308,0,1808
MEM,2138,23159,22236,7263,631,3546,6,8926
MFE,336,3937,4113,1019,96,1641,0,1194
MFR,429,6802,6562,1260,34,2404,0,2538
MGM,370,4949,4692,2295,0,495,0,1670
MHT,971,8968,8869,2358,642,2731,0,2387
MIA,10252,140221,144370,57018,1476,37324,252,36897
MKE,4897,52679,54101,15637,1861,12321,0,20006
MKG,104,1502,1538,403,0,227,0,860
MLB,230,3153,2950,1855,2,257,0,676
MLI,364,5170,5418,3005,261,616,0,1183
MLU,469,5902,6280,2480,176,664,0,2676
MMH,15,405,364,20,0,204,0,136
MOB,755,9660,10514,3135,3,1703,0,4910
MOT,245,2466,2574,1085,21,286,5,951
MQT,105,3362,3420,2343,743,165,0,84
MRY,371,5849,6420,1064,0,1224,0,3852
MSN,1156,12623,12364,3876,30,2252,0,5548
MSO,408,5767,5635,2557,21,772,0,1969
MSP,19299,215405,223219,79925,8671,49360,0,66929
MSY,6425,65195,64944,13755,2233,14566,6,27980
MTJ,132,1403,1353,325,0,227,0,726
MVY,40,811,682,178,5,272,0,154
MYR,798,11296,11403,1753,0,6159,0,2790
OAJ,196,2057,2145,773,0,153,0,1036
OAK,7214,68976,67480,15365,1170,11623,122,28346
OGG,3258,23012,22765,7421,211,2361,10,9018
OKC,2354,24591,24458,6522,1087,4943,16,9820
OMA,2688,21585,21778,6010,281,4075,0,8853
OME,103,392,436,43,26,35,17,206
ONT,2930,35723,34945,8737,1308,6339,128,14858
ORD,36409,542421,522942,162521,30170,108016,317,184114
ORF,1634,21128,20874,7466,826,4681,0,6656
ORH,104,1830,1701,421,20,244,0,966
OTH,51,1418,1376,0,0,100,0,1235
OTZ,103,950,977,583,72,28,0,231
PAH,105,2607,2621,1698,0,262,0,562
PBG,28,420,475,49,0,342,0,71
PBI,3552,56247,54757,14221,707,15467,0,20792
PDX,8570,81511,78589,21314,1778,18032,7,28250
PGD,9,26,4,,,,,
PHF,164,2388,2220,919,0,163,0,993
PHL,10910,136212,148997,43853,6849,43183,93,45010
PHX,23523,235626,238120,68513,3400,47334,1800,87773
PIA,431,6446,6520,3748,8,581,0,1773
PIB,104,1325,1497,574,0,205,0,653
PIH,146,1226,1489,276,94,228,0,783
PIT,3769,31320,30681,11149,182,5608,0,10566
PLN,169,2756,2415,278,310,4,0,1685
PNS,856,7723,7619,2315,75,1003,0,3522
PPG,52,2285,2271,1111,0,1066,0,15
PSC,551,6215,6540,2115,0,936,0,2973
PSE,122,2087,2034,503,0,105,0,1344
PSG,104,567,616,37,0,62,17,483
PSP,1444,20145,21350,6335,465,6555,5,6347
PVD,1880,17115,17913,4772,928,4957,0,5760
PWM,935,12106,12596,4790,78,3405,0,3619
RAP,429,5058,4994,2280,75,456,0,1821
RDD,142,2482,2561,10,0,1547,0,889
RDM,403,4256,4729,868,176,1271,0,2168
RDU,5221,61621,63506,17596,2613,14271,14,23815
RHI,156,1983,2045,356,0,101,0,1440
RIC,2412,39078,40233,16430,669,8975,5,12223
RKS,101,228,333,0,0,136,0,138
RNO,2078,24369,24411,4183,1607,5627,16,10669
ROA,337,5252,5302,1066,0,897,0,3059
ROC,1108,13873,14435,4203,482,3802,0,5049
ROW,60,353,409,56,0,41,0,213
RST,178,1582,1608,332,0,165,0,1020
RSW,4113,48553,45285,9208,990,10466,0,21299
