Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
ABE,364,4691,4931,1278,205,1299,0,1689
ABI,24,249,244,0,0,0,0,142
ABQ,2800,24800,25361,6550,814,4934,7,9986
ABR,104,1858,1959,1503,0,128,0,248
ABY,152,1694,1641,336,0,59,0,1138
ACK,63,1284,1280,253,283,223,0,461
ACT,195,2382,2361,1237,0,116,0,838
ACV,202,2894,3015,437,0,908,0,1562
ACY,523,9421,9607,904,221,6359,34,1649
ADQ,84,185,301,4,0,88,22,100
AEX,412,4195,4319,1429,0,725,0,1808
AGS,394,4240,3854,1012,37,599,0,1990
AKN,9,47,50,0,0,6,44,0
ALB,1344,11430,10778,3457,146,2599,4,3478
AMA,457,2605,3033,754,341,865,0,707
ANC,2434,12951,15291,5886,125,2232,21,3984
APN,104,1297,1145,130,0,11,0,885
ASE,568,8371,8137,2268,380,1794,0,3106
ATL,56535,686319,645173,231569,53307,104930,402,207171
ATW,512,4272,5012,1653,397,1216,0,1338
AUS,6764,62269,63233,18839,2526,12006,68,22558
AVL,482,8392,8449,3469,219,1595,75,2732
AVP,252,3167,3401,634,159,1601,0,686
AZO,304,3805,4510,2144,389,842,0,875
BDL,2974,27185,26894,9461,2035,4723,59,7848
BET,155,180,342,33,0,75,0,113
BFL,377,4217,3937,1496,0,591,0,1541
BGM,134,2299,2313,1439,22,164,0,578
BGR,88,1616,1680,863,0,281,0,476
BHM,1810,18008,17410,4833,267,3503,0,7290
BIL,507,2736,3046,865,189,509,0,1186
BIS,369,3915,4245,1326,163,658,0,1762
BJI,104,2400,2410,1486,0,108,0,727
BLI,84,425,539,284,28,141,0,0
BMI,230,2818,3082,1235,18,434,0,1168
BNA,7688,75464,76753,19967,2289,14188,54,32427
BOI,2155,20491,21115,6081,370,5390,0,7247
BOS,18189,208054,202836,62231,2814,56510,331,63142
BPT,73,1052,1305,514,0,229,0,459
BQK,155,2135,2255,724,0,260,0,1171
BQN,281,3971,3701,291,34,532,0,2494
BRD,104,1213,1520,591,75,278,0,454
BRO,287,2747,2671,272,716,529,0,1028
BRW,156,301,329,151,28,13,0,78
BTM,104,805,764,366,0,35,0,312
BTR,1023,14304,14407,7485,644,1787,0,3577
BTV,586,8420,8983,2347,233,3789,0,2151
BUF,2638,28230,28285,7461,1970,7822,0,9353
BUR,3398,23780,24632,4088,616,5183,0,11164
BWI,14087,143241,134481,44103,8034,27420,132,40564
BZN,576,4517,4928,1257,0,1408,0,1845
CAE,672,10791,10750,4055,1,2519,0,3711
CAK,784,9945,10464,3500,228,3516,0,2549
CDC,104,451,421,9,63,16,0,215
CDV,104,333,369,17,0,42,0,234
CHA,714,10699,11107,4297,189,2014,0,3815
CHO,355,5389,5513,2317,616,931,0,1401
CHS,2074,23367,23364,6049,339,7364,0,8060
CID,688,8982,9337,2766,964,2628,0,2434
CIU,104,1287,1235,622,0,113,0,427
CLE,5077,57894,58109,15184,680,19465,21,18468
CLL,149,649,650,12,0,395,0,159
CLT,16232,156510,170339,46585,15873,44789,299,45499
CMH,3463,28447,31901,6395,1026,9934,0,11468
CMX,105,2048,2267,636,222,769,11,462
COD,117,640,711,220,70,125,3,177
COS,1182,14389,14148,5301,1322,2440,0,3846
CPR,212,1766,1913,411,588,258,0,541
CRP,439,3286,3375,305,1074,683,0,990
CRW,386,8014,8396,2336,68,2336,0,3401
CSG,190,2432,2498,518,0,302,0,1499
CVG,2320,25108,27587,8427,570,8310,0,8501
CWA,123,1086,1196,369,0,98,0,600
DAB,286,3396,3334,1079,98,843,0,1124
DAL,10389,109826,111114,28834,6913,20194,108,40470
DAY,992,12483,13271,4376,1015,3626,0,3447
DCA,11830,127595,147242,29280,9570,42713,3,54398
DEN,32513,368771,363388,98272,21492,81886,114,127485
DFW,28816,336775,358660,106396,24145,71030,193,123481
DHN,206,2483,2391,827,0,275,0,1080
DLG,12,52,46,0,0,0,0,46
DLH,361,6515,5853,1300,1057,1187,0,2021
DRO,275,3101,3684,1390,79,934,0,869
DSM,1182,14876,15462,5349,627,3996,0,4302
DTW,18547,202364,204817,82425,6117,53903,181,47492
DVL,52,39,74,11,0,32,0,0
EAU,104,422,472,25,0,383,0,16
ECP,623,6513,6272,1873,728,888,0,2358
EGE,212,2988,2934,1129,115,821,0,705
EKO,104,102,172,0,0,15,0,80
ELM,264,2376,2208,830,0,389,0,809
ELP,1688,14796,14811,3069,357,2843,25,6513
ERI,113,1080,1091,57,0,467,0,489
ESC,104,1154,1048,206,36,59,0,666
EUG,518,6338,6805,2154,0,2551,0,1718
EVV,420,5210,5584,1707,0,1602,0,1897
EWN,104,1110,1213,542,0,129,0,452
