Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
TLH,205,2107,2009,1114,34,77,0,609
TPA,5712,60807,61946,16695,3241,11135,19,25081
TRI,176,1199,1253,644,0,184,0,295
TTN,185,2131,2405,247,0,460,0,1594
TUL,1144,10015,10743,2871,719,2475,0,3476
TUS,1276,12261,12022,4158,89,3356,5,3184
TVC,139,1334,1274,522,0,190,0,524
TWF,87,365,342,258,0,25,0,17
TXK,87,1471,1695,518,0,216,0,869
TYR,1,0,12,,,,,
TYS,591,5123,5889,1780,4,1488,0,1870
UST,30,1041,1039,28,24,493,0,454
VLD,86,1095,1130,324,0,44,0,677
VPS,365,2277,2380,232,469,531,0,811
WRG,62,238,261,11,0,42,0,196
WYS,6,85,67,0,0,0,0,48
XNA,540,5060,5661,1158,21,1813,0,2124
YAK,61,176,217,111,3,27,0,50
YUM,174,414,495,278,0,20,0,67
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
