Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
SRQ,210,1404,993,454,0,268,0,143
STL,4768,32886,34241,9528,1438,8281,24,9608
STT,300,2727,2812,606,150,491,0,1405
STX,66,495,481,135,0,25,0,287
SUN,57,1174,1190,550,0,1,0,601
SWF,63,706,646,295,0,38,0,262
SYR,474,4826,4406,1735,0,674,0,1432
TLH,202,2186,2018,1024,0,58,0,789
TPA,4972,32443,28601,8500,1170,5499,12,9733
TRI,186,1564,1279,290,250,0,0,635
TTN,185,1338,1395,402,4,442,0,476
TUL,1150,7234,7148,2145,67,1829,0,2113
TUS,1378,11575,11802,2292,0,3695,0,4435
TVC,145,538,536,33,108,58,0,291
TWF,88,315,335,19,53,34,0,179
TXK,63,158,380,73,0,157,0,39
TYS,683,3668,3690,1239,0,712,0,1191
UST,28,791,773,141,21,78,0,519
VLD,88,404,431,36,0,74,0,194
VPS,286,2273,2054,1155,22,49,0,693
WRG,62,1283,1177,739,64,44,0,319
XNA,525,7937,8220,4316,273,1391,0,1858
YAK,62,219,227,4,0,17,0,188
YUM,171,1631,2098,153,0,1195,0,391
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
