Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
LCH,144,587,606,29,0,248,0,241
LEX,448,5064,4846,1773,0,1025,0,1680
LFT,265,1375,1427,344,0,278,0,626
LGA,8156,103824,107258,31661,1567,26534,0,41562
LGB,1012,8703,9049,2536,30,1645,15,3743
LIH,852,6008,6399,2746,0,345,0,2180
LIT,715,5475,5670,1883,406,1135,0,1743
LNK,227,3079,3091,1177,745,303,0,683
LRD,186,1363,1302,261,0,367,0,623
LSE,84,227,385,2,26,159,0,112
LWS,59,320,281,0,0,0,0,260
MAF,458,1920,2056,591,20,434,0,732
MBS,140,1265,1197,236,42,389,0,403
MCI,3528,21299,22854,4498,1156,4601,19,8851
MCO,8824,111186,110497,25921,12909,23241,16,41057
MDT,265,3201,3506,1405,0,672,0,1096
MDW,7279,52177,48625,14807,1708,8770,10,15030
MEI,82,766,752,117,0,40,0,526
MEM,1206,9080,9162,2310,138,1774,0,3907
MFE,183,982,878,100,0,76,0,624
MFR,266,3252,2831,446,804,1012,0,402
MGM,218,3997,3820,2915,0,264,0,479
MHT,600,3802,3779,786,21,1931,0,693
MIA,5107,60029,66090,19541,8320,17208,138,15389
MKE,2562,20097,22112,5733,1150,5006,0,8286
MKG,56,250,296,16,0,139,0,97
MLB,109,968,800,240,2,89,0,389
MLI,145,3292,3289,2587,0,102,0,519
MLU,262,2541,2555,1239,0,336,0,765
MOB,448,5565,5242,1003,0,899,0,3083
MOT,60,504,566,2,0,531,0,17
MQT,55,1472,1480,1185,0,28,0,190
MRY,197,2345,2692,258,265,637,0,1448
MSN,673,4565,5110,854,31,1944,0,1917
MSO,246,2256,2226,1241,0,240,0,598
MSP,10600,84511,99658,26850,11556,29965,0,20352
MSY,3358,25599,26258,5714,758,7117,0,9581
MTJ,104,1812,1904,542,0,675,0,622
MVY,36,486,437,101,22,152,0,126
MYR,531,6328,6314,419,1,4079,0,1423
OAJ,107,2207,2130,1320,0,51,0,693
OAK,4163,28817,30800,6774,698,7343,0,10168
OGG,1825,11467,12643,4502,1746,848,0,3373
OKC,1354,9888,10174,2772,844,1513,0,3930
