Origin,FlightCount,DepDly,ArrDly,CarrierDly,WeatherDly,NASDly,SecurityDly,LateAircraftDly
SHV,545,10373,10867,5564,37,1341,0,3433
SIT,182,1791,1861,1333,0,78,22,283
SJC,3800,50514,48980,13952,243,7211,72,23125
SJT,113,1551,1797,262,0,200,0,1216
SJU,2638,35968,33971,7840,124,4182,15,19217
SLC,9782,91420,89060,30674,1928,18760,16,28355
SMF,3670,51812,49841,10939,335,7700,0,26225
SMX,62,1282,1291,750,0,57,0,433
SNA,3667,36888,37897,8906,735,8366,0,15447
SPI,154,3649,4079,1472,172,1093,0,1167
SPS,92,1445,1375,443,0,61,0,844
SRQ,211,4693,4142,829,45,1772,0,1380
STL,4935,98646,96294,22353,4328,15320,0,47634
STT,464,6258,6580,965,3,1631,16,3530
STX,103,1270,1199,196,5,130,20,761
SUN,163,1303,1415,307,0,620,0,356
SWF,62,1068,1006,721,0,146,0,73
SYR,567,10291,10323,2354,79,2609,0,4898
TLH,201,4220,4041,1355,0,887,0,1698
TPA,5686,110918,106158,25824,9590,23413,22,41933
TRI,194,5169,4934,2434,0,285,0,2133
TTN,185,4662,5087,1274,70,1849,0,1756
TUL,1158,12785,12831,2723,670,3464,0,4883
TUS,1327,18060,18299,5894,122,4181,0,6802
TVC,426,6320,5993,1238,287,1628,0,2523
TWF,85,145,178,0,0,7,0,81
TXK,83,3094,3290,1404,0,223,0,1545
TYS,640,12676,12673,3213,58,2664,0,6215
UST,29,241,524,33,5,290,0,173
VLD,86,1856,1890,685,0,242,0,933
VPS,417,6739,6571,1747,0,1695,0,2867
WRG,62,295,333,36,0,52,0,177
WYS,58,441,353,17,13,19,0,206
XNA,514,8998,8909,1526,731,2403,0,3978
YAK,62,214,279,7,0,14,0,170
YUM,170,645,674,0,76,52,0,452
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
